,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,36,6.864493730908304,55,1.1800429126777967,True,-1.865879822098451,253.06017036698344,,,,,,,,,,,,,,,,,,
1,4,9.07061813088212,74,8.890164658579145,True,-1.0896286998812146,262.2340255845855,251.37095158725577,75.21297740544861,173.66778644326916,250.7774045189103,0.0007694468973386701,180624.1469998231,0.09730661785202525,0.5995507349882431,2.986516543535185e-19,,,,,,,,,
2,70,-7.999217528625236,88,6.601456395540573,True,-0.20533221412348684,276.77100969282037,,,,,,,,,,,,,,,,,,
3,41,-7.094794515956091,85,-3.720924385034097,,,,,,,,,,,,,,,,,,,,,
4,42,-8.193574954003264,45,7.536430939026577,True,-0.05678692102628742,285.1815753375208,265.9767568774649,110.95791472545251,147.97721963393667,265.88069509151586,0.00014305659555828324,1269904.4660544724,0.037974353496889345,0.58703314892736,1.661502992389017e-26,,,,,,,,,
5,47,9.397309556578179,65,7.858346265599415,True,-1.562192168886444,255.79178267105377,250.0140248592407,63.43608615092551,336.86597846226863,247.76597846226863,0.0012583741426092432,285162.18534844456,0.19138230219310007,0.6055795946260839,5.308135456536824e-19,,,,,,,,,
6,7,3.566637114964477,31,3.0481781604519576,True,-1.081169722880007,260.0750938673341,256.72952201402074,71.26171607809748,990.1676567843806,252.56765678438052,0.0009009041841662487,1539544.1201666575,0.26060665941283956,0.6013322785387191,8.126013029371143e-23,,,,,,,,,
7,25,-6.745301945966191,83,-6.6511886369933055,,,,,,,,,,,,,,,,,,,,,
8,40,7.231728453490575,78,2.2053715288156024,True,0.32347419687665546,197.5479485311969,182.6088960040327,41.18309818572051,194.3,177.3169018142795,0.004412038662815378,14065.326562882467,0.33581007880636154,0.6289886122878555,7.607336958915438e-10,,,,,,,,,
9,2,-5.517590399925629,87,4.727875741343668,True,-1.1201114740108202,258.57206847376415,250.71543319406564,75.46059094231079,173.0204432067331,250.05985226442232,0.0007791999230439689,119697.92516461287,0.10241139171668133,0.5996881181665505,2.649885693566346e-18,,,,,,,,,
10,42,4.4133018293841015,85,3.974191302673926,True,-1.9600004302445027,257.01261333600996,256.9593576066208,64.9617720067462,390.51544300168655,247.68455699831347,0.0015118682886016404,17901.3690855441,0.3881501353642901,0.6082143403718537,5.8198027472839305e-12,231.70187853029816,405.46770091156816,455.83540182313635,231.23229908843183,0.00010688679639189665,167113.62708196105,0.08976591643462464,0.5857297764256424,1.0376783935182523e-21
11,59,-8.009358624358748,74,-3.3821641616661013,,,,,,,,,,,,,,,,,,,,,
12,24,-5.249847117910262,50,-5.0900685865782584,,,,,,,,,,,,,,,,,,,,,
13,23,-8.215407793027554,67,-7.656502634301059,,,,,,,,,,,,,,,,,,,,,
14,66,2.282764232649262,85,1.1927975071348342,True,-1.4523345391638525,256.9929027255919,247.97499278856404,65.20615482685527,186.88369289611316,247.03876903462896,0.0011948515287192726,96392.45136153682,0.12307061420591543,0.6048763433515056,4.192863343238094e-17,,,,,,,,,
15,74,6.006322105799924,90,-4.270894179113849,True,-0.7851270569626126,,,,,,,,,,,,,,,,,,,
16,7,8.63767528823702,35,1.9817383576929348,True,0.5150114677845383,150.57163543297804,,,,,,,,,,,,,,,,,,
17,44,9.780049804980532,63,5.139750027132763,True,-1.8450045046565018,256.0228365677494,250.35659927949527,61.050148386806114,322.7832838710646,246.48328387106463,0.0015990376621185113,38414.02953519748,0.25128408898602644,0.6090655234498205,4.384382094524331e-14,,,,,,,,,
18,3,-8.034260582813339,73,6.1849479701509615,True,-1.0866401024894552,260.0789588142795,251.4234761542004,75.00852789031836,173.625116734191,250.85829442193634,0.0007689355370390494,210478.83964844033,0.09489971811713001,0.5995435068982532,1.3288749431962854e-19,,,,,,,,,
19,14,-3.8325680745557067,41,-2.2444460288799606,,,,,,,,,,,,,,,,,,,,,
