,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,9,9.61595139083823,77,-1.2107198938125379,,,,,,,,,,,,
1,62,-8.66367615317287,65,7.105365835735711,,,,,,,,,,,,
2,9,1.745481066737666,51,-0.44484079061659365,,,,,,,,,,,,
3,65,9.687021271099074,72,2.8104382853096794,True,-1.1130026144950182,259.3422857555412,251.20745189821946,73.5849098447258,175.93094590683546,250.52301803105485,0.0008145467741154573,130610.53874842163,0.10454486297058634,0.6001786567863054,2.0366860836680143e-18
4,43,-8.08970599065741,43,-0.7220676456949686,,,,,,,,,,,,
5,55,5.159317972434209,96,-2.998988985879027,,,,,,,,,,,,
6,84,9.499306682925809,94,-2.7690016527558647,True,-0.904974483314877,269.04054260021337,255.43772405564192,93.17716139120564,158.67716139120563,255.20761286959814,0.00042492868366219514,1107641.8422939382,0.05997619454021525,0.5939343485032486,2.3122005434635506e-24
7,58,6.124020941506753,72,3.49583843254851,True,-1.3044503021165876,257.031002065417,249.41761991717885,66.95150241682808,183.87090145009685,248.6096995166344,0.0010493645528828095,128221.48133427104,0.11402552856093436,0.6031876196961272,5.8153442625202685e-18
8,47,-9.163212487144584,49,-7.460030648966267,,,,,,,,,,,,
9,24,-3.2550060386485953,42,0.4995766816009457,True,0.7593167318108223,331.764432999001,,,,,,,,,
10,8,4.166285689439096,47,-1.1683903286445485,,,,,,,,,,,,
11,66,-4.306405547408161,90,-1.292895493570187,,,,,,,,,,,,
12,18,-9.72533605254565,51,-2.8181024748075316,,,,,,,,,,,,
13,6,8.361125947104643,49,-4.531768493957471,,,,,,,,,,,,
14,61,-6.439232996974599,97,2.4892499422405283,True,0.13077836585773117,289.7988523502928,,,,,,,,,
15,10,-9.879360001315355,32,-9.291104829618554,,,,,,,,,,,,
16,7,-9.84960491149353,57,5.851170742022694,True,-1.040902450255568,262.2520805273206,252.2446883910323,75.76466436679033,174.5387986200742,251.58706712664195,0.0007491338969973268,128080.9085082969,0.10227048188360231,0.5992616594873024,1.6466381482433604e-18
17,16,3.6102138476516537,62,-1.119026320455344,,,,,,,,,,,,
18,71,-7.702927484990909,94,-1.576872520233339,,,,,,,,,,,,
19,13,-6.472482184551687,72,-2.01167474674822,,,,,,,,,,,,
