,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3
0,20,-7.635889151685554,36,4.305124089924428,True,-0.2922941162447289,273.6763041247475,261.46108698006424,99.90295022367255,155.20236017893802,261.2994099552655,0.00025907582959590146,1672929.710834251,0.04969754504606452,0.5903420715466531,4.40110391910958e-26,,,,,,,,,,,,,,,,,,
1,59,8.118994991503484,70,-0.1802261579713118,True,-1.036972674575257,263.15954207128266,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,-4.379188431346965,82,-1.0852397879111422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68,7.46803260710303,92,-4.59629253761862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34,5.839969950376743,47,2.514732083888962,True,-1.6097224564234793,255.72124048522022,,,,,,,,,,249.4509521439304,59.63396595782294,320.8,247.07320680843543,0.00144128044725771,55116.63133849127,0.19680646156751244,0.6075058111982289,3.0538542216190516e-15,,,,,,,,,
5,12,-6.148782991357269,93,-1.1995338036309242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,71,1.459236040042084,85,0.36151663639113707,True,-1.2272460605045108,257.6982287155342,249.58261010877624,69.07168827606542,179.50301296563924,248.86566234478693,0.0009530196501861298,157775.35149772564,0.10737584602530177,0.6020006400283839,1.3785104594401681e-18,,,,,,,,,,,,,,,,,,
7,44,-9.12834583523889,51,-8.702726203610638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,16,4.825936544190201,99,-3.4694866163050957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,8,3.537775030631874,60,-1.2915195523526002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,53,8.172880827174922,66,2.308996850396481,True,-1.2614467736413106,256.54093898356047,249.62613803077994,66.02564057262566,185.51282028631283,248.7290599045624,0.0010544122210237074,98693.64327416844,0.1201407323402841,0.603248198985618,2.3865813379970564e-17,,,,,,,,,,,,,,,,,,
11,51,5.223231101423389,88,3.880957304930206,True,-2.5656935207855187,261.07289392744235,256.2323479137752,62.026152543489786,349.5,248.35794915217008,0.0019576791136006423,17278.183193260156,0.3538215314283886,0.612330962167446,1.065225209795e-11,186.33407968512972,380.9449845228645,416.4449845228645,186.05501547713553,0.00013295959061979703,293394.29850033135,0.0772224501528709,0.5866880695234504,1.959703849563917e-22,,,,,,,,,
12,2,-7.42569812892687,42,-1.0268618533114235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,35,8.650943342968333,35,-6.860078002911541,True,-1.0118163601663528,260.19916023328375,253.05001334364187,75.69177682446377,175.87342145957103,252.38164463510725,0.0007428742980487811,128020.82924166603,0.10297727223091574,0.5991717580647312,1.614699900084535e-18,,,,,,,,,,,,,,,,,,
14,66,-8.807862079681996,80,-2.4200261873328177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44,-4.722160354053264,88,-1.4445055871006112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,9.232593677210943,51,-6.751961809597773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,7.54347334938123,51,3.1069212907990025,True,0.5496963258249598,196.27646682970897,,,,,,,,,,141.2116859681697,128.1,209.1,126.36336269694623,0.0011638151661074402,3015.0087784741386,0.7034293708771426,0.6045250635726934,3.9963852495712885e-07,144.21499051708201,56.8,128.2681807602992,125.43181923970081,0.0009798073940780379,1466.2642521956445,1.0,0.6023366758960513,1.0338065056373651e-06
18,37,-9.33981118368882,59,-2.618653426710569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,10,8.914673110450188,14,-5.494413932637501,True,-0.4295495975625026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
