,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,53,-3.7698962135095337,64,2.722987691599032,True,0.08186306095220751,288.10416365940796,,,,,,,,,,,,,,,,,,
1,20,-2.0295365250523423,85,-0.43309817377903137,,,,,,,,,,,,,,,,,,,,,
2,84,8.219918246667277,94,3.478197372934657,True,-1.1889835626964698,256.97955451041867,249.82588491566415,72.87477910062739,175.00486746037643,249.16504417987454,0.0008549514523733559,139658.52896527245,0.10299968377976547,0.6007259760200312,1.6727402816582815e-18,,,,,,,,,
3,28,8.304287920338432,55,-4.046397876882903,,,,,,,,,,,,,,,,,,,,,
4,44,5.484993832110241,57,0.41371646135537965,True,-1.1516183850873791,256.89022355689013,250.47282365568827,65.612479688011,184.6062398440055,249.63125338533152,0.0009901806379744682,117335.52198903127,0.11622792320469666,0.6024656015526337,7.761093883372497e-18,,,,,,,,,
5,54,5.671189334947313,72,2.6145006641359885,True,-1.5341996955744004,257.4673900992982,248.04909039238416,58.90742362836115,324.3,247.6185152743278,0.001313654517642671,12621599.288005335,0.08346663445907378,0.606176510957842,7.221423816298251e-28,,,,,,,,,
6,32,6.619264088976504,75,3.345654784721983,True,-1.146690988067577,185.11399123019922,162.82811754159107,42.651301594624286,187.95130159462428,157.74869840537573,0.00458749377576468,14327.638882886404,0.347349292524604,0.62995237997697,1.2215217859168386e-09,138.31154321654847,194.95902241779297,229.85902241779297,137.84097758220705,0.000701174852850278,96209.01044704,0.11621544989742043,0.5985625288365383,4.297466382429943e-17
7,10,6.278005951147506,35,2.9694087432041236,True,-0.1562147811354849,194.88463873709773,,,,,,,,,,,,,,,,,,
8,10,-9.371943445426359,39,-5.81185981042376,,,,,,,,,,,,,,,,,,,,,
9,31,2.003599678375597,80,-0.9020188356447267,,,,,,,,,,,,,,,,,,,,,
10,26,6.329929155575961,69,-1.023602223486911,True,0.7279113430043733,,,,,,,,,,,,,,,,,,,
11,26,-8.339259582541857,64,6.11020195053915,True,-0.7172094196333652,265.90032007315955,255.09170258590896,83.62381465653417,166.8942887939205,254.6352370686932,0.0005251583321750597,213660.11923355478,0.08471633119578303,0.5957558790870748,2.993190305334843e-20,,,,,,,,,
12,24,0.9811212213601213,70,-0.8421428279128396,,,,,,,,,,,,,,,,,,,,,
13,69,5.237527387884116,93,0.2115653196785594,True,-1.175788007266435,257.78902342150593,249.45263735665674,64.97077395748659,182.65692465249552,248.67153767375225,0.0010043543149911853,145131.99123052869,0.11215087118484747,0.6026405306425224,2.6644938285366266e-18,,,,,,,,,
14,39,9.89328157801604,39,-1.9544766740940709,True,-1.0159926184079129,261.14432625031264,252.97559709433858,75.49572762803683,175.67743657682212,252.34085447439264,0.0007446736350913954,155875.55944109347,0.10033766743811023,0.5991976407026859,5.842140065262881e-19,,,,,,,,,
15,67,4.020166822580993,68,0.13553852419554957,True,-1.0678542989292172,260.21222084322216,,,,,,,,,,,,,,,,,,
16,1,2.7173885041953856,30,-2.5053188228752425,,,,,,,,,,,,,,,,,,,,,
17,35,-5.818733990070557,46,-4.638888749472749,,,,,,,,,,,,,,,,,,,,,
18,2,-9.649181293166802,77,-3.9225982529500802,,,,,,,,,,,,,,,,,,,,,
19,7,-9.90640706874644,46,-2.747750479056103,,,,,,,,,,,,,,,,,,,,,
