,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,9,8.98172002168091,52,5.093256804493958,True,-1.082530891588012,260.536252174282,,,,,,,,,
1,24,-9.476300522944126,24,-4.789727625723823,,,,,,,,,,,,
2,46,-1.7685116706260224,59,1.582268763827825,True,-0.29850197751931884,277.61092259684415,261.4470453109445,101.71852545080696,153.6580339344093,261.2604915163977,0.000241647277689636,616910.1071171288,0.05339696985139855,0.589902466963979,5.786910871664733e-24
3,5,-2.4220466559582743,63,-0.523974389401797,,,,,,,,,,,,
4,43,-8.021297521019727,69,3.3838312804935544,True,0.039612075554176764,284.86793454024064,,,,,,,,,
5,55,6.782164120958626,82,-5.944964353229927,,,,,,,,,,,,
6,9,-9.229826381147106,13,1.7528876248384186,,,,,,,,,,,,
7,33,-9.18237761930989,75,7.0286879465856025,True,-0.6843884656811292,263.545612399228,,,,,,,,,
8,2,-9.844744807249361,78,9.54443009100483,False,,,,,,,,,,,
9,9,-8.811623921131172,37,-6.691155773389561,,,,,,,,,,,,
10,13,6.994836138826269,66,-4.8615924160635915,,,,,,,,,,,,
11,1,-4.898110509979561,81,2.0273155470091844,True,-1.1084388625340955,258.7681229258711,250.95970485953154,75.12380421643527,173.17428252986116,250.37523915671295,0.000776015981722483,187344.49081785211,0.09660749424357568,0.5996433675077106,2.533890404689312e-19
12,29,-7.416371704994031,57,0.8960622984028319,True,0.6090012697522855,318.55921855921866,,,,,,,,,
13,14,-6.862576074646558,52,-2.6796072742591797,,,,,,,,,,,,
14,28,-3.7904475847161256,63,0.010805090678884355,,,,,,,,,,,,
15,5,9.259708661731963,61,-0.9356956541645758,,,,,,,,,,,,
16,16,-5.154059985275059,32,4.7862571445465125,True,-0.5941673150104483,267.58565681786644,257.18978398928584,87.80609392674363,164.60365635604617,256.7987812146513,0.00044448068211582446,253192.14599223682,0.07804372762718,0.5943058102780417,6.4951749881767635e-21
17,12,8.934374115778699,22,2.413441239249323,True,1.752204223318889,231.1284083673101,205.90565044899867,49.2,204.3,202.02910240719433,0.004668691102920403,20888.045744463,0.27179572884010833,0.6303916045298315,4.9226646929731425e-11
18,1,7.91629780124957,54,-3.227297714858313,,,,,,,,,,,,
19,20,5.4800032469759685,89,-0.9210807698995076,,,,,,,,,,,,
