,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,38,6.288007283066822,95,2.206472800652687,True,-1.7641052788308695,185.86137728248207,165.65166309967242,40.9,185.9,159.79040523361957,0.004852726176899381,10918.59306917295,0.36867043336068717,0.631371369759002,6.353830994631838e-09,160.8452694490912,189.78429448392512,297.1157055160749,148.0157055160749,0.0004080264327761442,7638.552341092598,0.5351574238196801,0.5936060653585108,3.252499649941989e-10
1,35,5.71528097364326,85,-3.4208793911177526,,,,,,,,,,,,,,,,,,,,,
2,5,-7.602449422020545,79,-4.4503367016229305,,,,,,,,,,,,,,,,,,,,,
3,23,-7.4865831832857666,87,2.944429446346984,True,-0.9221877797148571,259.9781316474821,252.1258666740744,78.88963261677785,169.64481630838893,251.5517278972037,0.0006523970607890621,133915.64692922786,0.09556312130264044,0.5978254597950827,7.619435793502772e-19,,,,,,,,,
4,54,2.517519604940439,65,0.6998670153586559,True,-1.1946955085995223,257.638502700231,250.3502622480892,68.90326580559571,181.76130632223828,249.51934683888086,0.0009527129359250048,116633.84687493545,0.11541444251651986,0.6019967624147254,7.025983536085423e-18,,,,,,,,,
5,59,9.975289382967837,90,-1.5878884278780205,True,-2.487712449050197,,,,,,,,,,,,,,,,,,,
6,64,-7.172279271094004,67,-7.0419312329466806,,,,,,,,,,,,,,,,,,,,,
7,21,-8.68758262318381,55,0.8427927908850066,True,0.13101735556794492,292.0118082128045,,,,,,,,,,,,,,,,,,
8,72,9.874901175552193,81,-2.4906101477229132,True,-0.9182862365501823,268.6826443024375,,,,,,,,,,,,,,,,,,
9,34,-7.843543116939717,72,1.9979869230727623,True,-0.09207522100244703,278.7762897041788,,,,,,,,,,,,,,,,,,
10,67,9.204965697292867,89,1.2467453430172455,True,-1.3493356156803293,253.0638086193642,247.6478608539801,60.230136847997116,190.71808210879826,246.6939726304006,0.0012501210053921811,118061.20337153833,0.12442694961891988,0.6054892995194523,1.801957145612154e-17,,,,,,,,,
11,15,-2.881039984750582,33,-1.502700712511185,,,,,,,,,,,,,,,,,,,,,
12,22,-7.445341925220728,28,-5.646638200654095,,,,,,,,,,,,,,,,,,,,,
13,50,6.506963023937139,56,-5.1456258217295865,True,-0.30945981057184924,,,,,,,,,,,,,,,,,,,
14,37,-2.7655070473465315,92,1.7744942708488765,True,-0.7366640944727795,262.3551796930109,,,,,,,,,,,,,,,,,,
15,63,6.545322030951269,69,2.013138543839535,True,-1.0917372633842028,258.4796058341031,251.6000499305755,73.66099521690742,175.73659713014445,250.9878009566185,0.0007995790055514795,186566.34783267917,0.09878140851845418,0.5999723186773619,2.9322089539497967e-19,,,,,,,,,
16,7,-8.842082211426437,89,-2.689717445450257,,,,,,,,,,,,,,,,,,,,,
17,9,9.537680002013808,53,5.721816613002746,True,-1.0805893834945852,260.2857603946928,254.53689076586102,75.91736406020098,1297.4565271879599,251.25652718795982,0.0008618125701006178,16536418.619658366,0.23153318314045504,0.6008175648085023,3.826381978250045e-28,,,,,,,,,
18,66,8.892339825617203,75,-0.12789789194014034,True,-1.059140303671073,261.6725621252906,,,,,,,,,,,,,,,,,,
19,58,-4.056179212733775,60,2.3329113397650723,,,,,,,,,,,,,,,,,,,,,
