,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3
0,64,9.885141736764616,91,-7.032050141478921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,6.722936834077615,84,3.757354275357125,True,0.9673392079399293,214.1559876054465,182.5662864417755,48.2,194.2,179.20650785206885,0.004656443800035529,26014.109735296995,0.2685759717760367,0.6303256425114849,2.2853876452549165e-11,,,,,,,,,,,,,,,,,,
2,32,-2.0030065366772547,65,-0.641834885236868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,8.057141931970303,70,2.8732574708785403,True,-3.280115013691462,203.11193399565903,,,,,,,,,,115.03514864071784,316.7,348.0,114.54104880716136,0.0006355140075836181,76177.41170241745,0.13063012929344278,0.5975637090061228,2.2113306400673808e-16,,,,,,,,,
4,67,-5.103813479331752,68,3.8948803349385823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55,3.8496366160200512,67,1.8178599420800783,True,-1.251215666544678,257.4693700811573,249.86355343982427,67.6882094656843,182.59410473284214,249.10196508905264,0.0010002430922594608,143487.51906419825,0.1106312214552114,0.6025899245892186,2.699312989687568e-18,,,,,,,,,,,,,,,,,,
6,36,-9.897685590237849,69,4.397985287007504,True,-0.2704478737979265,273.45900261073496,261.21975863458596,100.82623217750579,154.12623217750578,261.04344195562356,0.0002469614440417287,1143758.7448122054,0.05192928847392901,0.5900381783665192,2.7479988203317507e-25,,,,,,,,,,,,,,,,,,
7,22,-5.4869598706382465,39,-0.05632371075853726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26,5.761654050614553,83,2.1650269023105384,True,0.4145088017886154,196.0668853844191,,,,,,,,,,144.35633314638218,127.5,208.9,129.18666733322942,0.0011727818548696632,3176.036250758701,0.5951426733051475,0.6046274187376088,7.837503284572319e-06,145.12039245696272,56.0,127.8,127.77412580119184,0.001101860096712403,2310.638915894378,1.0,0.603810357753034,3.559934826105336e-07
9,72,-6.252062731582857,73,-1.581506876875583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2,-5.759037157558991,43,-4.154541225823296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,44,9.806908438550202,84,-6.2344996239185075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,57,-4.415619844239098,68,3.4308384194845374,True,-0.00996744568460615,284.022537567262,266.90864610595753,112.4683398239621,147.25778643194946,266.81055339201265,0.00012986805726329445,849532.906510829,0.03829982611060006,0.5865797653185627,9.048163487594663e-26,,,,,,,,,,,,,,,,,,
13,55,-0.6035546999475034,96,0.4550901669649825,True,-0.47399546078597876,268.3789121404042,257.5156013880519,93.87300466376925,158.0984037310154,257.22539906724614,0.0003440373967149302,286407.05366456864,0.06713973716384981,0.5922949835031869,1.2129714982047993e-21,,,,,,,,,,,,,,,,,,
14,22,4.509007977974363,50,-1.064253082123411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,32,8.297680126115178,34,-3.305288066225856,True,-0.9184093508333318,265.11948505860227,254.72714369369345,82.43092211150739,169.52319158363053,254.29226947212317,0.0005961463074949573,280302.8093938556,0.08269491802190441,0.5969389859843363,1.0985166839424089e-20,,,,,,,,,,,,,,,,,,
16,22,1.5984712794339195,67,-0.03365499350058698,True,-1.1655653772512706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,57,9.488307963222649,67,8.368598702796,True,-1.1817189456618789,260.87899612803824,250.68317417802064,70.52672268775935,179.0560336126556,250.01465546244813,0.0009002005079413492,132496.44809557876,0.10333368303850934,0.601323117395123,2.5297567025331186e-18,,,,,,,,,,,,,,,,,,
18,12,-8.569587386547276,16,5.997109470913816,True,-0.04573365669793742,282.7935057827168,265.8846745803455,110.72871145120149,148.2811857520025,265.8237628495995,0.00014457309787223126,68401480.53381613,0.03024844290006497,0.5870838938938454,2.633709403274191e-35,,,,,,,,,,,,,,,,,,
19,9,-8.544968172099859,39,-2.8096187244887494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
