,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,5,-5.099717279616245,5,-1.7055952953649882,,,,,,,,,,,,,,,,,,,,,
1,37,6.7211347487673905,51,4.833481366559136,True,-1.5417428815707965,255.13302964283352,250.33770622943206,63.079989347835436,333.65500266304116,247.85500266304115,0.0012771572205191848,70874.1107163691,0.20112610980440015,0.6057839375781724,6.317470294899643e-16,,,,,,,,,
2,76,6.9987130266392334,94,-3.688369308015038,True,-0.9057655054059728,,,,,,,,,,,,,,,,,,,
3,83,8.931910611729965,99,3.63780923653753,True,-1.2976698287644888,255.48992772558452,248.59659056013123,69.61461188515037,178.60876713109022,247.79707762296994,0.0009831721247272746,100693.24379113785,0.11356511741369558,0.6023786188575464,1.585250876154574e-17,,,,,,,,,
4,15,2.8655254130409027,21,-2.775586981355726,,,,,,,,,,,,,,,,,,,,,
5,30,3.5360083122592556,37,-0.16723566502997933,True,-0.9497911449742477,263.8025951967462,254.3916557669613,81.43746390349278,170.82997112279423,253.89250721930145,0.0006249516101253643,201036.25326094907,0.0886413760246825,0.5973981135482469,7.548372854780254e-20,,,,,,,,,
6,20,-9.14850814376811,88,-5.004022259432137,,,,,,,,,,,,,,,,,,,,,
7,88,-2.802108819253486,90,-0.4261751404261389,,,,,,,,,,,,,,,,,,,,,
8,11,4.597597508876579,37,-4.500919016168135,,,,,,,,,,,,,,,,,,,,,
9,42,7.000152279218604,94,0.5055905241015228,True,-0.8201496531875416,199.31676470554527,,,,,,,,,,,,,,,,,,
10,64,3.697706344023379,93,0.016923135620048768,True,-1.080619997212881,261.3741730478721,,,,,,,,,,,,,,,,,,
11,31,9.032938283316184,40,-4.829764597518363,True,-0.42411885337660604,,,,,,,,,,,,,,,,,,,
12,36,5.512907786711711,87,5.283561343489964,True,-1.3005345950700415,189.30331248782633,,,,,,,,,,131.86450936494205,195.6,232.5865127730201,131.4134872269799,0.000855519614992906,183252.15460067327,0.11653602508537589,0.6007335748729306,3.759108816090329e-18
13,49,-3.639990610521762,61,0.8296641817787318,,,,,,,,,,,,,,,,,,,,,
14,5,-2.7787955612553112,66,-1.7475768327971188,,,,,,,,,,,,,,,,,,,,,
15,10,7.75616023786376,14,2.054510927047623,True,-1.4053007311602153,252.66674980255226,,,,,,,,,,,,,,,,,,
16,11,-5.6812586313794995,58,-3.786127834215229,,,,,,,,,,,,,,,,,,,,,
17,62,6.572366072903787,64,4.0633368956173115,True,-1.0618248739917722,262.32565668958574,,,,,,,,,,,,,,,,,,
18,30,5.330036176440933,80,0.14756328429476184,True,-2.1082377398108383,210.52126200274347,,,,,,,,,,,,,,,,,,
19,59,-6.195182883926062,65,-3.453263535332445,,,,,,,,,,,,,,,,,,,,,
