,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,5,-7.962684450126969,92,-0.7176584800177679,,,,,,,,,,,,
1,15,9.142261974148525,24,-8.435613352954404,,,,,,,,,,,,
2,15,4.720580642310255,65,4.61723391334791,True,-1.1237629493778312,262.6501217771058,253.54527961780855,73.84856602112716,995.0,251.01285849471822,0.0008776305112683777,12782152.666304432,0.2028736219056615,0.601027277384867,1.0957414937095902e-27
3,1,9.868569771436643,91,2.1354298074135887,False,,,,,,,,,,,
4,2,-9.546652205311794,48,-1.9152946216328033,,,,,,,,,,,,
5,45,6.586653412940226,93,-4.3153413946487795,,,,,,,,,,,,
6,13,7.717109135051857,67,6.6318431463402625,True,-1.1107461062602237,259.3422857555412,,,,,,,,,
7,12,-6.977652167616122,23,-2.4716608331893823,,,,,,,,,,,,
8,72,7.838831977074996,93,-3.1316749566523194,True,-1.1849716245342365,,,,,,,,,,
9,29,5.682689433222134,74,-3.682324982674463,,,,,,,,,,,,
10,24,-6.596428871008295,88,-6.534199089966437,,,,,,,,,,,,
11,53,4.369076443124314,99,1.926832479707219,True,0.5093776607414784,201.06884730716666,179.3392854641551,45.08841631256852,193.6,174.6115836874315,0.00450050252987849,14440.347107944288,0.3204505038973594,0.6294771957872437,6.45585606314863e-10
12,38,-9.226222195015357,86,-7.847012028726132,,,,,,,,,,,,
13,37,2.6470825461603624,42,-2.3880125834483596,,,,,,,,,,,,
14,28,-4.703797206380331,59,0.552759870890096,True,0.44998018938444817,306.47495359589004,,,,,,,,,
15,22,-9.011693373473676,46,4.381757111728442,True,-0.3930726598328869,272.6064959641603,259.70284720156184,95.28051313553433,158.5083078813206,259.46389737289314,0.00032020509481625733,597743.9790890943,0.06064444590452744,0.5917749029688997,2.056114419090322e-23
16,44,-9.23351654796955,48,0.30711813525226894,,,,,,,,,,,,
17,25,4.787452413935679,36,-0.2723380995828162,True,-0.858369296674487,293.5628187007225,259.8628085533413,109.79991828542558,147.39983657085114,259.7500408572872,0.00021421743593935612,1264968.1915086536,0.041552930888730084,0.5891763589211266,7.307450165865769e-26
18,1,7.026313556102291,58,6.5380525543702745,True,-1.050037574025924,261.2141101592579,252.2353497539977,75.2514909006441,174.71089454038648,251.6297018198712,0.0007566779187623623,166811.5726760653,0.09809780849581504,0.599369489859685,4.2341103292544157e-19
19,2,8.485345774905554,47,-3.7531843439118706,,,,,,,,,,,,
