,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,28,-1.3503197048968048,42,-3.547093407746371,89,-7.4620964453942085,,,,,,,,,,,,,,,,,,,,,
1,5,6.681408675324768,37,6.85237794895157,63,-8.621825896356459,,,,,,,,,,,,,,,,,,,,,
2,20,5.975425228222475,53,9.546868801789003,80,-9.653451812343976,,,,,,,,,,,,,,,,,,,,,
3,1,-4.463947454782469,22,6.858883695110531,78,7.823013841382874,True,-1.2086715978387848,258.86016933348253,242.2293994918609,732.3941439485774,820.1647146495259,240.9352853504742,5.070935239581181e-05,60937.46601934458,0.1462896183216127,0.5831352328425382,2.2701804181232073e-20,253.22815424765906,75.65732394469696,716.5786619723485,249.36066901382577,0.0009135477012339333,620407.9071893408,0.25249875256704063,0.6014962463430431,7.647459094910388e-21
4,17,-1.944844412398643,34,-2.270010214995642,54,-6.449346077998106,,,,,,,,,,,,,,,,,,,,,
5,7,-2.8152928243034436,30,6.563732398668005,90,6.644046375416359,True,-1.3550430385194583,256.8264526999518,,,,,,,,,,,,,,,,,,
6,25,-1.691892175513356,34,7.309617112891438,36,-7.3622965250943135,,,,,,,,,,,,,,,,,,,,,
7,28,1.317346657134932,42,-5.390228118760398,95,7.158424631504271,True,-0.8961683416194537,260.11281682740275,252.14640912049802,80.18200359042594,167.92920215425556,251.62359928191484,0.0006203690811624359,159949.15478776034,0.09118158070644457,0.5973258180258173,2.4814998269972915e-19,,,,,,,,,
8,12,1.088185778522977,25,-1.3026038165424971,83,-3.920336789289747,,,,,,,,,,,,,,,,,,,,,
9,5,1.723889228760891,18,-1.7891454147260983,45,-4.330497917827141,,,,,,,,,,,,,,,,,,,,,
10,56,-5.4862350753298035,63,-6.918451920736695,65,8.049275208884861,,,,,,,,,,,,,,,,,,,,,
11,1,1.8889993905305538,4,-2.252997930915166,96,-4.466865585738531,,,,,,,,,,,,,,,,,,,,,
12,46,5.993176090078524,67,-7.2872230349692995,96,-9.298876991419469,,,,,,,,,,,,,,,,,,,,,
13,1,5.126876560240685,46,-7.421888138470758,72,9.24229499658512,True,-0.6077531434507447,265.88013917302857,256.49625727845597,89.06246583581505,162.25747950148903,256.147506832837,0.0004259976795235751,330646.2904076709,0.07376485426507327,0.593954882841624,1.3797594442791926e-21,,,,,,,,,
14,9,-0.0453964477155111,26,-0.9742192938641718,60,8.513484320877865,True,-1.0186718352965816,259.80762832835927,252.32724067698243,75.98180537671121,173.5409026883556,251.7530324372148,0.0007308925302370108,183233.9040451484,0.09552539565850773,0.5989985673657354,2.271490997502992e-19,,,,,,,,,
15,18,5.046985787061111,56,-5.744127106967721,80,6.952167827582013,True,-0.6014717604070626,266.1687213229154,256.3045756004739,90.24859610164526,160.56915766098714,256.01028077967095,0.00040606152759955106,431289.3371226623,0.06779558419412304,0.593567451082443,2.7334006859228544e-22,,,,,,,,,
16,33,-1.1613123150395346,39,5.347190547761365,41,-8.148628597925217,,,,,,,,,,,,,,,,,,,,,
17,4,-2.241256275543586,66,3.130201748165806,96,-8.586343906181611,,,,,,,,,,,,,,,,,,,,,
18,24,3.1729807765711158,50,-7.097540055728951,86,-7.252935707438494,,,,,,,,,,,,,,,,,,,,,
19,19,1.2147304094304943,82,-3.3746563730105583,89,-9.86885037360456,,,,,,,,,,,,,,,,,,,,,
