,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,77,9.857418900242351,94,8.818356766442538,True,-1.3305468374484613,255.70297620648628,,,,,,,,,
1,16,9.29599991430888,81,-3.3125464510746427,,,,,,,,,,,,
2,1,-6.362624428295128,33,3.5508381334318333,True,-1.0115879552072433,261.48997103079125,253.02983705773678,75.6823642305685,175.9094185383411,252.3635271538863,0.000742990678647938,128714.43024485874,0.10279965519721974,0.5991734331327195,1.5680177519782706e-18
3,19,5.133192349694877,47,0.4197386630129216,True,-1.4504482749721286,188.76868755164904,,,,,,,,,
4,54,7.810241604119238,84,3.860341539868756,True,-2.785216992062849,264.9925591177187,253.9267145892231,62.151677526878736,316.6,248.47416123656063,0.0023027396156683785,23000.989264723685,0.2939579628022639,0.6151823884787269,2.4282776781319773e-12
5,22,6.874744904005723,85,3.6208451429813238,True,-1.474364934665877,194.78705133286405,,,,,,,,,
6,92,9.961446983062881,95,0.6543802521573472,True,-1.1471268263065775,257.7388707792708,,,,,,,,,
7,7,5.740896387500724,83,-2.3569143766210665,,,,,,,,,,,,
8,1,-5.7344041515806765,8,4.429611474839945,True,-0.8485984333124215,262.1984893087789,254.1865920377123,76.55952637513028,178.27571582507818,253.60809472497397,0.0006752910551711812,207933.6068014952,0.09558446309590446,0.5981748469106174,9.34170026677535e-20
9,41,-3.310677302862919,77,0.16220815622226148,,,,,,,,,,,,
10,75,8.40681474172516,77,-5.242831055983064,True,-1.0079071824996122,261.4478728350687,252.72099196098054,80.05666956691769,169.84533565353416,252.18866608661648,0.0006579830382811991,178469.42938869412,0.0918487694260621,0.597911287615034,1.7377957469274547e-19
11,40,0.6035753292105603,67,0.3319622960322288,True,-3.0831507389175523,265.71091055705824,,,,,,,,,
12,11,-5.825695613635499,50,3.4305899375615247,True,-0.9579991236770595,263.19310620157285,253.06742796265405,76.50492873206775,173.28295723924066,252.53901425358646,0.0006999607498499876,164426.51856845905,0.09140377618527075,0.5985445120987672,3.1067042470761744e-19
13,23,4.4565518380457565,25,-2.151792352102049,True,-0.7276146158458767,282.52834362890985,260.2390902767975,106.2038422647213,150.6064037745355,260.0987192450929,0.00024176083061190094,1052704.7171252891,0.04635350000392938,0.589905382710493,3.1952358653539395e-25
14,2,4.7638463917776015,26,-2.730882256169524,,,,,,,,,,,,
15,16,9.073180507925077,99,-7.426674824939901,,,,,,,,,,,,
16,64,-3.7410651993563864,78,-3.459515200815046,,,,,,,,,,,,
17,17,8.49088098290991,62,-6.787515060175659,,,,,,,,,,,,
18,20,9.218721778847488,39,-0.09964450694981686,True,-1.1067082386327216,321.55040259652014,,,,,,,,,
19,57,-5.775104038259409,61,0.433004018267674,,,,,,,,,,,,
