,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,68,-4.8208298452030185,70,-5.587908188792876,94,-9.543657244127768,,,,,,,,,,,,,,,,,,,,,
1,29,0.05416994751563031,56,6.921358915673327,93,-7.502625420654767,,,,,,,,,,,,,,,,,,,,,
2,23,0.6132284878026049,76,1.5767075592662785,94,5.046949502189593,True,-1.2677056146331485,256.4701578215779,249.13875848557745,72.53389220465866,175.3003353227952,248.43322155906827,0.0008978802725656309,117573.41453599778,0.10656445085572057,0.6012928848901697,4.904515028590065e-18,,,,,,,,,
3,10,2.386959057180462,51,-6.723044362943225,87,-9.06807935030539,,,,,,,,,,,,,,,,,,,,,
4,21,6.375374261094038,37,-8.758299284211475,68,9.417995532102445,True,-0.6990565324132731,265.030824779654,255.3305211608095,85.10650135670005,164.96390081402004,254.97869972866,0.0004941139677498956,254792.85946050685,0.07418502303611459,0.5952125276134026,8.077219793813927e-21,,,,,,,,,
5,39,1.464788794377025,44,-7.446979704969472,54,7.566235219917889,True,-0.570331197970249,271.3218559105643,257.7474066438111,91.7950291977355,160.8950291977355,257.42624270056615,0.0003871338725540917,294042.5993189033,0.07058536513713076,0.5931904452674329,1.6730938204039578e-21,,,,,,,,,
6,7,1.5316980529917483,74,-7.5974240199420295,95,7.845360261312642,True,-0.46133175124392056,269.0761879560433,,,,,,,,,,,,,,,,,,
7,37,-0.7324562345748582,40,5.7371457274983015,69,9.231788584502073,True,-1.4673114661978908,259.7420137456317,252.54783122502897,69.63610485530667,384.4,248.41597378617334,0.0010722127247130557,132762.22193016225,0.2610006966412268,0.6034606248341828,2.973733608882045e-17,,,,,,,,,
8,8,0.06705776738243863,26,1.5165325814831654,84,1.781583161742164,True,-1.2607458013080237,257.19918379990037,234.1407758644671,727.3892807291405,805.3630935763802,233.13690642361985,5.170189029075025e-05,78969.64999485537,0.131154138532609,0.5831912839275927,6.511279675038265e-21,,,,,,,,,
9,56,-0.94170094802511,59,-1.604372327457817,90,-9.150013571436602,,,,,,,,,,,,,,,,,,,,,
10,20,-0.9572483475745734,27,-5.214828335604185,86,-6.416694975634609,,,,,,,,,,,,,,,,,,,,,
11,21,-2.379785321963195,33,8.087094741014806,67,-8.141152261704727,,,,,,,,,,,,,,,,,,,,,
12,7,-1.4117262161492086,23,-4.360546371236326,94,-7.134764447156716,,,,,,,,,,,,,,,,,,,,,
13,4,2.100218268866227,47,-4.245122367518395,80,4.7214964799035535,True,-0.6130727648458597,265.22338619616613,,,,,,,,,,,,,,,,,,
14,47,4.73034635698567,66,6.480047121542004,96,7.315508221082265,True,-2.33400845379136,257.00948457488494,,,,,,,,,,,,,,,,,,
15,4,1.2969126479226212,20,-7.509552352675028,62,8.246615296917309,True,-0.9242002745123907,263.16367229577554,,,,,,,,,,,,,,,,,,
16,17,-1.1801725660773403,55,6.453566048300139,70,-9.438237702984901,,,,,,,,,,,,,,,,,,,,,
17,19,-1.8846875289710958,20,-6.792450682331925,42,8.842389411839093,True,-0.6795987803273449,264.36537909406127,255.97513500239856,84.89227856114826,166.71382284891862,255.52154428777035,0.0005014109790808846,185624.08084443925,0.08426788920673386,0.5953417937897403,5.107351690632802e-20,,,,,,,,,
18,24,4.169890051190087,48,5.1125871673001875,55,7.047319033609618,True,-1.2849990757470762,258.99990331950374,251.37530136703216,67.24870842700084,400.44974168540017,250.35025831459984,0.0009480145704117716,2507251.0333002154,0.1284792792902225,0.6019372955603486,1.9065175715312563e-24,242.3856882730813,411.9181858323861,535.5590929161931,239.84090708380697,0.00011905850740997879,37106.99218861084,0.20369457390026555,0.5861903891475068,9.098229347041313e-18
19,19,5.660656399793375,60,-7.470968997207496,67,-9.378265699609658,,,,,,,,,,,,,,,,,,,,,
