,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,42,-3.057373821635599,56,7.789439062349928,90,8.90493968126508,True,-1.6163825264000722,255.01487538524577,249.71582391756533,68.73213343982486,353.6919666400438,246.6919666400438,0.0011724601965430587,251291.83855616758,0.22301209587169832,0.6046237733856284,1.1396495795097469e-18
1,37,-5.670450618725691,70,5.936761328440927,75,-9.477895278023876,,,,,,,,,,,,
2,4,5.4315740642541055,10,-6.915143374849386,84,-9.584245521421416,,,,,,,,,,,,
3,6,-5.170031703253799,39,-7.88303597527189,42,-8.374755446197526,,,,,,,,,,,,
4,44,-1.2050352132940603,78,3.9781929613674585,96,-7.674112002028064,,,,,,,,,,,,
5,41,-6.012743467400343,48,-6.557475311688519,60,9.198633502595154,True,-0.16299820168379867,278.4576417201829,263.7760544434671,106.44901560465347,150.54901560465348,263.66274609883664,0.00018583874486782393,2220542.253643814,0.04142523674006646,0.5883731785679519,2.75101858592666e-27
6,88,-2.012650364130238,93,6.64759719370257,96,7.08175405772721,True,-1.1427466931566905,257.9805784391321,,,,,,,,,
7,3,0.642609629161706,70,-0.6579140588956616,94,8.50881232233466,True,-1.1039583720717074,258.44076959288117,,,,,,,,,
8,18,3.95866143061955,63,-6.612848094589356,83,-7.194585646415394,,,,,,,,,,,,
9,60,0.3786323785359986,79,-6.997342693494668,87,-7.015445457020519,,,,,,,,,,,,
10,2,-6.020958127068674,57,7.171011130940087,75,-8.225997258928203,,,,,,,,,,,,
11,23,1.2609131403687677,78,3.9327149646424004,95,-4.917114607564872,,,,,,,,,,,,
12,58,-1.3796982667571793,69,5.449398297888706,94,-5.4534682956418035,,,,,,,,,,,,
13,8,-3.1241754467053173,63,-4.814463108769398,87,5.037665236355513,True,-0.4881138726765114,268.46771325509314,,,,,,,,,
14,59,0.9941907155695713,65,2.089960480751216,75,-2.7377636537579537,,,,,,,,,,,,
15,15,4.913360174238715,31,-5.908132592897983,40,6.678013789622263,True,-0.9181678236158735,147.9215168260059,,,,,,,,,
16,4,-3.3510655365006166,32,6.443531226172134,37,9.241719783815995,True,-1.090158264699156,258.8981870125451,252.13485432318538,72.46596018161483,179.0795761089689,251.40680796367704,0.0008319446788128178,123506.18652244791,0.1076569401024781,0.600416025585694,2.9983517115718384e-18
17,6,3.6153229733642345,41,-3.9639371766489244,72,-6.8551504560024075,,,,,,,,,,,,
18,24,-2.36382877975889,76,-6.3875102525846295,80,-6.847564560478567,,,,,,,,,,,,
19,58,-4.706387604814688,61,-6.315397455721765,68,-8.058507193298045,,,,,,,,,,,,
