,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,1,-0.04852452497597959,11,-4.930998800843856,89,-6.985602639579627,,,,,,,,,,,,,,,,,,,,,
1,6,-3.0984702920364064,66,-5.066996475101318,81,8.172682848053203,True,-0.746592468895695,263.63814616326067,254.67984106989744,86.16911638674523,163.85183729005894,254.2827209033137,0.0004910739356314853,233219.6589377316,0.07900587293820109,0.5951583830063394,1.393114542597589e-20,,,,,,,,,
2,24,7.57226536928394,47,7.608060753355691,74,9.964339561119651,True,-1.8876178089666995,258.69582023166794,,,,,,,,,,,,,,,,,,
3,14,-0.8732773571138566,25,4.5867574539800415,65,-9.66641823359022,,,,,,,,,,,,,,,,,,,,,
4,9,3.8364409741389736,12,5.759433705184831,79,9.370099076086664,True,-1.1135918852221078,258.691763681555,251.0104381360352,75.23574325289924,173.58144595173954,250.37285134942016,0.0007802987509117499,146453.12840249733,0.1009261994853663,0.5997035401955092,9.495287408404388e-19,,,,,,,,,
5,9,2.7372438428157366,50,-5.049165060243821,86,8.358737511612404,True,-0.7705078030532962,262.40120190737474,,,,,,,,,,,,,,,,,,
6,32,-1.6643583699657327,33,-3.695154006131589,85,9.943118809345663,True,-0.9822135124661161,259.6046663947898,251.69196658048145,77.69117045498128,170.47470227298876,251.14176590900377,0.0006877123273805571,174005.81313403806,0.09361107032650995,0.5983618361600446,2.365139888807751e-19,,,,,,,,,
7,68,-2.119734314895398,77,-4.5324396961352615,85,-5.155096758802145,,,,,,,,,,,,,,,,,,,,,
8,7,0.11482359323160907,8,-6.10096941044012,78,9.031726308686917,True,-1.0975412043044677,258.6229815977742,251.15667761926008,75.26015378911077,173.35609227346646,250.54796924217786,0.0007714299911406717,165860.1423934312,0.09857006604317582,0.5995787424234734,4.721705596258684e-19,,,,,,,,,
9,58,2.624265232153851,61,3.839424883549345,74,4.814891528815954,True,-1.304378646233477,259.7761056277619,,,,,,,,,,,,,,,,,,
10,41,2.375640948854077,55,-2.7938842677786857,97,6.316439247496724,True,-1.0141617495379585,258.85515144774416,251.07263881348635,78.30835094277599,168.9850105656656,250.5383298114448,0.0006831844827962324,169111.107631362,0.0923519062776983,0.5982938790684931,2.6217444164931813e-19,,,,,,,,,
11,12,5.84288004569127,69,-7.933921673266817,76,9.123476995692378,True,-0.6261289503159221,266.1218813773531,,,,,,,,,,,,,,,,,,
12,27,-3.92271932377525,43,8.862782456272484,78,9.165922303644706,True,-1.7201074382772334,257.51939426348304,253.60348579282547,68.12440098024658,372.8,247.19389975493837,0.001284095585309355,29460.2181124877,0.32531673022610874,0.6058590195081237,1.66420343197052e-13,202.9772283304319,407.7160228177869,453.11602281778687,202.54198859110656,0.00010594180842272433,149883.71934331377,0.09247486346973376,0.5856929265953031,2.673134319703528e-21
13,22,3.3567128679509004,47,-6.556058096153581,96,-8.273561619392583,,,,,,,,,,,,,,,,,,,,,
14,6,1.3162161961193632,83,-3.07779281382561,88,-4.015265979884899,,,,,,,,,,,,,,,,,,,,,
15,2,5.116568752661427,16,7.328291932173773,34,-8.195338667460614,,,,,,,,,,,,,,,,,,,,,
16,29,8.528083374915575,34,-8.697597973612536,41,-8.839011199887516,,,,,,,,,,,,,,,,,,,,,
17,8,-0.17721816618771058,45,-2.7716144147050814,82,-4.660474499720522,,,,,,,,,,,,,,,,,,,,,
18,62,5.857692173318261,65,7.048482394917571,89,-9.284263486619572,,,,,,,,,,,,,,,,,,,,,
19,13,-6.263864967555916,15,-7.605943887508526,61,-8.885349469615376,,,,,,,,,,,,,,,,,,,,,
