,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,17,0.7963055958832896,81,6.744170123905111,84,-8.600576999381548,,,,,,,,,,,,
1,4,0.5146186287144605,40,6.449023438436779,57,7.910633688892624,True,-1.481971419745178,257.5298438934804,250.9151248010595,66.34942915606688,349.1376427109833,248.3376427109833,0.0011461460672880222,190846.70690720415,0.20512291994045362,0.6043236887369049,3.4225584396238508e-18
2,62,-2.4381949258080375,70,3.0438346118293254,96,-3.382123506858461,,,,,,,,,,,,
3,20,2.6613729301659905,56,-5.925133528430742,77,9.925788103051541,True,-0.7365029444458139,264.00481402888175,254.78207483588074,85.56811622343716,163.9608697340623,254.44637675531257,0.0004933409440881471,479938.63281104446,0.0726352659272645,0.5951987761361478,3.3538875930160323e-22
4,4,-1.691387797152828,26,-8.978770322706675,55,9.477478809752121,True,-0.7012563387176591,265.9528527155414,255.57702166350134,84.12796174922819,166.7367770495369,255.15440765015438,0.0005134318840789157,260661.9763351269,0.08138212499417809,0.595552641275818,9.617656972230918e-21
5,17,0.8436272147944095,81,8.023218194806887,98,8.213242323704218,True,-1.3286993172557036,255.82358692148875,,,,,,,,,
6,17,0.028448568543819164,38,3.699438503914534,40,9.608534044963015,True,-1.0289568235143178,260.48793891931143,252.77827253230055,74.74625340732076,175.8231267036604,252.1922910987799,0.0007571965901139148,194938.87090886207,0.09638885719630993,0.5993768828710513,1.8815013582758908e-19
7,39,-0.41783478899662185,62,1.8093472502370993,75,6.3553325841296235,True,-1.139433177609204,260.3156583573782,250.79659377828276,73.22883920298075,175.32162940223557,250.19279019925483,0.0008249664998725717,198188.75764977402,0.098273906994334,0.60032113261407,2.387000645125957e-19
8,16,1.4721148766849659,75,-7.039036199776425,77,-9.303171536162068,,,,,,,,,,,,
9,24,3.361602702416402,72,5.496841711385429,82,6.554302425516035,True,-1.2181018393188654,259.85256899362497,250.14055901831168,71.86069838530216,176.9964190311813,249.46786032293957,0.0008881067703170457,157171.81371468471,0.10383283570822005,0.6011650852368186,1.0569227539155427e-18
10,15,1.7063187062180347,20,-3.061383751994036,88,-4.982596007349445,,,,,,,,,,,,
11,60,6.302667430513317,62,8.414530624051974,95,8.709259266447997,True,-2.6052496808167294,258.8127348426476,253.0271042334499,63.25456635502546,324.42271682248725,247.1227168224873,0.002080300497079408,20794.945678468554,0.3072879988903288,0.6133729908558387,3.3750048182257394e-12
12,36,4.390765151515028,84,-6.6611879437028225,88,7.587362946646408,True,-1.1353899064833588,158.0833513825717,,,,,,,,,
13,13,-3.89883770196759,43,4.057208195469427,96,-4.614209149947768,,,,,,,,,,,,
14,53,4.9354089806066455,60,-5.895647567877045,70,8.478042825656992,True,-1.2503530655016344,261.8384731324833,,,,,,,,,
15,1,-1.7619461531877683,57,-2.644946598674565,90,-6.574910797090958,,,,,,,,,,,,
16,21,-3.0781218132909816,25,-9.038860716167514,72,9.926113680377856,True,-0.8853876676025388,262.2340255845855,253.05149653121194,78.9550191139618,170.0275095569809,252.55749681433971,0.0006363999528883493,234547.19902151916,0.08844441877716135,0.5975775335687312,3.7555261731393226e-20
17,41,1.3472708096392019,89,5.209176725777368,99,-6.6979465813070505,,,,,,,,,,,,
18,52,1.5437303937938456,53,-2.237355843201076,73,-4.471476455600989,,,,,,,,,,,,
19,4,1.2800935945737315,28,4.794299330815486,89,5.301905040990764,True,-1.2975989421930065,257.2535245826937,231.84765366333525,724.9026741221462,800.2008913740488,230.89910862595127,5.221713465842359e-05,86727.67454762584,0.12815155067668174,0.5832201667654389,4.306596600762631e-21
