,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,51,0.34057792731286796,62,6.680126989429553,67,8.989434693334744,True,-1.100466185730199,259.1083851908057,251.51668319904388,73.74380163726205,175.56628098235723,250.9112396725476,0.0008007757252249278,191744.52425165314,0.09822235196192226,0.5999888897359579,2.5459987093726334e-19,,,,,,,,,
1,5,-3.005017514575858,23,8.353226119386363,53,8.62289133797196,True,-0.9518692876974123,188.35114022038036,,,,,,,,,,130.12706894225028,197.4,232.8,129.66622798660254,0.0008200101522229643,135057.05830265445,0.11854856788469073,0.6002534789720814,1.618049507196041e-17
2,8,-5.632758270556786,39,8.536256009485498,53,-8.734716384525127,,,,,,,,,,,,,,,,,,,,,
3,33,4.6355277017470335,68,6.387169763031366,81,9.563017526629245,True,-1.3575927033298893,260.3379842696082,,,,,,,,,,,,,,,,,,
4,30,4.725626314780957,32,6.576188919979451,54,-9.501299016805529,,,,,,,,,,,,,,,,,,,,,
5,6,0.18050197380854627,36,1.286312274178476,77,-2.431363301699408,,,,,,,,,,,,,,,,,,,,,
6,7,0.5426629106180734,10,4.944925169155594,54,-6.8566953606878585,,,,,,,,,,,,,,,,,,,,,
7,15,3.1023819551291574,57,-5.884622805759248,68,8.734108080382558,True,-0.7264999541217124,267.4886836417181,,,,,,,,,,,,,,,,,,
8,34,1.7861589457903708,78,5.00176785619332,84,-6.151939364088095,,,,,,,,,,,,,,,,,,,,,
9,38,0.019778884582528633,71,3.0477542100328208,93,4.8555955509241535,True,-1.4072866639473633,255.27430722903966,248.26808635433915,69.25326889229385,179.0519613353763,247.54934622154124,0.0010376459618413963,143045.65668555626,0.10772027579423557,0.603046387566158,2.9668630248846515e-18,,,,,,,,,
10,8,1.3273696199761815,16,-5.4737109644382915,36,9.811549203038528,True,-0.8306198452424943,262.69580719573787,254.555481671401,79.89829844763992,171.13897906858395,254.02034031047202,0.000611723880967165,185030.05172817493,0.09181517449833546,0.5971886702855281,1.1383151633637422e-19,,,,,,,,,
11,41,0.7464010786701092,72,3.3934927437813567,86,7.818404405687801,True,-1.2589426569638043,256.75093082500484,249.5779711401731,71.78908560752582,176.76681420564435,248.87772859811855,0.0009097559430865152,140999.25015127167,0.10607434784362123,0.6014471980756575,2.044232925511045e-18,,,,,,,,,
12,21,7.3563863456594305,80,7.790649944757803,83,9.712970557578402,True,-1.1485630260998219,258.3819462040217,250.69625437229405,74.37842380067997,173.947054280408,250.08431523986403,0.0008052434567919634,173121.5150708977,0.09890577678382927,0.6000506409126946,4.400422121346574e-19,,,,,,,,,
13,55,0.22158797966780774,85,3.5189328422024637,90,4.227613913786355,True,-1.1628829829834635,257.5284297064098,250.24409012393792,74.18247447794478,173.72948468676688,249.62350510441107,0.0008155527961625704,151819.12970907826,0.09968279598983254,0.6001924541017541,8.95441869951054e-19,,,,,,,,,
14,9,-3.758348623911849,10,4.822003799005209,44,7.945326935380493,True,-1.0450923509566732,261.63710659015817,252.5664717174939,75.15797835771036,175.61478701462622,251.92840432845793,0.0007598224664510879,141698.98221633877,0.10065289945432467,0.5994142710449815,1.0071906384066977e-18,,,,,,,,,
15,4,-0.12509343037949527,48,-9.041366136691442,92,-9.98933213563452,,,,,,,,,,,,,,,,,,,,,
16,39,-5.934770456939933,48,6.561622031661756,82,-7.811147515683608,,,,,,,,,,,,,,,,,,,,,
17,6,-1.5148734306040694,53,4.993485429524487,67,9.332005573091578,True,-1.2375560818784124,259.49618092574565,250.32786462634485,70.15980547677252,179.75588328606352,249.64803890464552,0.0009343938099760033,176878.3270258835,0.10435592423648726,0.6017640190970489,6.906115214583901e-19,,,,,,,,,
18,1,3.7509752777685,15,4.644462554567534,83,-9.701188408595325,,,,,,,,,,,,,,,,,,,,,
19,7,0.1987292838388619,27,1.2317178316279858,52,8.049783801820219,True,-1.1207125677143974,259.3388680389703,251.87928462820844,73.98068989663528,176.94841393798117,251.18386202067296,0.0008127725890951605,122661.61898031285,0.10527200486051436,0.6001543026510792,2.776001728908178e-18,,,,,,,,,
