,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,8,-0.2740949692093544,10,0.9165069690434073,97,-5.645836866029519,,,,,,,,,,,,
1,6,3.6920935654655462,44,-3.9973489903954285,59,-8.604286721740408,,,,,,,,,,,,
2,5,-4.959255705087675,27,-6.939734398472444,74,-8.475518514009494,,,,,,,,,,,,
3,21,-0.8529809581508871,78,2.120856652827076,92,-7.596335123330114,,,,,,,,,,,,
4,36,6.143077137701582,67,-8.582354708991808,86,9.382951025437759,True,-0.6939620116006537,265.3515695030603,,,,,,,,,
5,11,2.3468881300587263,20,-3.55522205060407,34,-6.618463212605015,,,,,,,,,,,,
6,17,-0.6954661311887271,38,-3.62612112375452,96,4.891040186920899,True,-0.9409225644817009,259.72257990295617,251.67011043516635,78.84706558447463,168.74823935068477,251.1505868831051,0.0006531060777022853,167230.5800583893,0.09091939368088935,0.5978363747510523,2.3289347781294497e-19
7,21,-1.7852638780716177,67,2.899997344859944,74,9.89412650860174,True,-1.0916843640512723,259.6075914838167,251.36230347207612,74.23024856373657,174.41814913824194,250.7939502872527,0.0007853619542500946,219226.98105149675,0.0951849623106509,0.5997744563728514,1.1646309254695924e-19
8,50,3.173382753381908,68,-8.346168591780396,94,-9.93983465101573,,,,,,,,,,,,
9,35,-2.2157061520929417,62,5.207793255218904,98,8.46710959315616,True,-1.5691067930907372,255.5684878044275,,,,,,,,,
10,54,-0.7487365070177461,57,4.2134709549413465,99,7.120714002504368,True,-1.5642358488909114,255.70683308583122,250.0650643991188,69.08717871250525,383.3,247.1282053218737,0.001091359943073672,234358.37089593164,0.2197516712586315,0.603687065287366,1.2525879006663317e-18
11,18,3.081241756889284,71,4.300623175325191,93,6.004719626686203,True,-1.4428416488523623,255.16843987248137,,,,,,,,,
12,38,-2.0661786695939526,74,5.053505241759513,77,8.266451685097806,True,-1.0238396116720467,263.31746740046606,251.77601342735989,76.53055058864341,172.37833035318604,251.17388988227134,0.0007242604273734808,156982.82768433148,0.09790614009748015,0.5989020678847544,5.017514167196605e-19
13,6,-1.3303644707008484,44,1.603802600629237,72,2.1442846545484358,True,-1.6480554085231351,258.0544184064152,252.99669398818753,67.77748415042998,368.5,247.5306289623925,0.0012383294177876183,37671.80914678871,0.30034201801003113,0.6053597443567574,3.490952901455313e-14
14,4,4.451593154331007,54,-6.215667240891063,56,8.602657487502267,True,-0.9496735306586771,263.10013717421134,253.23139090028812,78.94784789842092,170.7858859238157,252.7380380253948,0.0006550306434457392,227204.45674110192,0.08834154346846293,0.5978659717945645,4.779512410728517e-20
15,2,-0.6702592419771634,62,-4.8401190243731556,68,-8.120078935984342,,,,,,,,,,,,
16,16,4.438539287042534,41,-4.664718719969949,97,7.646746470769877,True,-0.9653896928999184,259.564326230993,251.31950401642425,78.60794113375349,168.70476468025208,250.7984117732493,0.0006639542498037779,153326.82268193868,0.09113249885122238,0.5980026170792799,3.796044462840231e-19
17,3,-1.4080233218755325,15,2.2166999361273536,21,4.53724920910731,True,-1.210322997295979,257.44116202101077,251.44181861981795,69.49591640081235,184.6975498404874,250.60081671983755,0.0009515329718452086,105120.55804545029,0.1158924862752239,0.6019818427920192,1.1657565050104488e-17
18,41,7.146300168344876,90,-8.604572069025014,99,-9.913042476242433,,,,,,,,,,,,
19,44,-1.6872635186928129,57,2.887359903646791,66,-6.002245062959681,,,,,,,,,,,,
