,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,10,0.7157836800773154,48,4.231886602782469,86,7.646261172111185,True,-1.526407709312833,256.0527999363155,222.65155017612696,415.8699902799157,477.3699902799157,222.01500486004213,0.00010766313600674057,121255.77813205645,0.10679705748703654,0.5857599262235957,7.83752759275789e-21
1,13,4.34216467933169,45,-7.464944695923846,61,-9.231015285671418,,,,,,,,,,,,
2,12,0.5155835929073262,77,-0.9851064804222283,82,8.59204172038352,True,-1.097811073939223,258.3811325502756,,,,,,,,,
3,20,1.7444549687113113,57,-3.1662755420835076,65,8.318792492486043,True,-0.981226224325038,262.4278732113109,252.80000870591215,78.34895294615006,170.86937176769004,252.31020941077,0.0006725161106042231,256052.86394929956,0.08812451619071965,0.5981328294011594,2.8605527367967314e-20
4,26,2.656645788079876,58,2.6613819349032646,64,-6.53531126056963,,,,,,,,,,,,
5,2,-3.117285432462806,27,7.152277876236262,46,-9.320990238765237,,,,,,,,,,,,
6,44,-3.599241772820907,53,-8.756029284687955,85,-9.828052592214586,,,,,,,,,,,,
7,16,-3.1049314267781565,62,4.153053062700582,83,-5.987496350812629,,,,,,,,,,,,
8,4,-0.20243947008348329,39,1.0905849043482228,65,-9.8580766159713,,,,,,,,,,,,
9,41,-0.16939891922067218,77,2.368124620322183,91,-7.486401536498047,,,,,,,,,,,,
10,1,-8.002394980236222,51,8.213824441977525,64,-8.886788051441014,,,,,,,,,,,,
11,65,2.696936286547519,86,4.694112845400058,93,7.8009617938987965,True,-1.29345103613778,256.4735796508449,249.19759825630172,71.65315033013921,176.7918901980835,248.46936993397216,0.0009295894607670518,115996.3054805372,0.10821431257274472,0.6017025855777682,5.998310547574435e-18
12,54,-2.2646887362702905,56,-2.757997806554309,84,-3.7611173440454904,,,,,,,,,,,,
13,5,-0.30080580090938014,54,3.995610202095339,67,7.415521973938141,True,-1.2133366473819767,259.9098471118546,250.5372971823823,70.4756762429787,179.3054057457872,249.86486475140427,0.0009154244262535131,177961.8093467525,0.1037142409911107,0.6015204833254055,6.207135518252545e-19
14,6,-2.0298269556314885,85,6.597131644202278,98,-7.308926712180035,,,,,,,,,,,,
15,49,-2.6585643381131536,66,5.720748020031213,88,-7.8000559364518,,,,,,,,,,,,
16,6,-2.0434227875171462,57,4.797996853802356,73,-9.353698275186375,,,,,,,,,,,,
17,26,-0.908444416094893,66,-2.6359831923917554,79,-2.8067160989519273,,,,,,,,,,,,
18,4,-1.8558234931575157,11,5.186631576306782,99,-8.848528705911981,,,,,,,,,,,,
19,19,7.8996511866935855,28,-8.136236559001404,51,-9.832995752291215,,,,,,,,,,,,
