,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,23,-3.280191938366233,60,-4.231134968211094,75,-8.400951724510332,,,,,,,,,,,,
1,23,2.133998892628526,77,4.558313779388508,91,-7.524691705743917,,,,,,,,,,,,
2,38,-4.586149230059964,83,-6.277102762086326,95,6.851787376445827,True,-0.3124796517847618,273.5388256811639,260.30296381749446,101.21052142684375,153.11052142684375,260.0973696432891,0.0002453911204221015,375824.9778515441,0.056192927700250285,0.5899982327853874,7.820379110856361e-23
3,7,-2.423892669683725,32,2.6191059807207946,48,-5.218672907616828,,,,,,,,,,,,
4,2,-1.3605025213166506,44,5.950474694308527,61,8.13107852994819,True,-1.410259647976453,255.8173780478489,250.05797116066347,66.03726645429609,350.29254670914077,248.8925467091408,0.0010768645856374763,1150824.5190842901,0.13734799611533702,0.6035158330526947,1.5845224567846518e-22
5,9,-7.684769814621242,64,7.7910826083101234,97,8.80105382124777,True,-1.8400141755032302,254.84096098026382,,,,,,,,,
6,38,-2.3765236889604946,50,4.751123224834357,53,8.002922091053193,True,-0.9470555363220815,262.05574923039734,253.28973300867295,78.10627353336972,172.56376412002183,252.67874529332607,0.0006769447866581428,131673.7661090749,0.09839677159443724,0.5981998446462099,9.669999994322893e-19
7,5,3.6479651300625378,22,4.4415660625814795,48,-8.445350027323599,,,,,,,,,,,,
8,80,-7.3534952431073375,93,7.646793604076063,94,-7.808480045428878,,,,,,,,,,,,
9,16,-0.8391065928353125,61,-1.5534700875650298,86,3.589539123749896,True,-0.83608807810616,261.7463583512966,253.3223590850852,82.75766294868627,166.19459776921175,252.86846741026275,0.0005618446502262906,197733.62251531097,0.08471955342695092,0.5963769842909515,5.510114967145438e-20
10,6,4.453748200312557,30,-5.794033602068708,72,-9.062477892196974,,,,,,,,,,,,
11,6,-1.1381165683991021,10,-6.919182906004333,22,-8.748900377864848,,,,,,,,,,,,
12,53,-1.202860038650078,64,-4.943601827758712,86,6.660701936553121,True,-0.5243741136373256,267.64775083125807,,,,,,,,,
13,22,-0.06490901841722696,48,-0.5525563814259531,95,-6.588429580396948,,,,,,,,,,,,
14,20,-0.9733131503568604,56,-3.7054783756781813,94,6.339154561423797,True,-0.7901983561647825,262.2623840794886,,,,,,,,,
15,12,-0.8529331804242641,27,6.863863995118013,30,7.95693571643255,True,-1.0294308464749418,261.002235640912,252.74828674588474,74.0167010129484,177.53002060776905,252.05665979741033,0.0007786117101942307,125861.21144800581,0.10480352972247516,0.5996798579529634,2.104049566374925e-18
16,26,0.8700382271034517,27,-1.2851489325073793,39,-9.910684090889173,,,,,,,,,,,,
17,10,6.574944657708091,41,9.167343203262114,61,-9.425842167065579,,,,,,,,,,,,
18,7,-1.3176081187168442,70,-8.530219758599195,89,9.417933694211737,True,-0.5083664384608474,268.4291189897869,,,,,,,,,
19,21,-6.2825071790902935,64,-6.484576609449409,65,-7.004417934410423,,,,,,,,,,,,
