,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,9,3.063770807789904,21,5.994397140688953,74,8.477792225333822,True,-1.1806116961941986,260.5530390502413,243.43541553224657,733.0344411377101,827.24481371257,241.95518628742997,5.180232523844921e-05,55875.35964599381,0.15606774191008302,0.5831969253381081,4.140440995111642e-20,,,,,,,,,
1,1,2.9839199172682953,54,-3.864819602254359,87,-7.801386075809075,,,,,,,,,,,,,,,,,,,,,
2,35,1.2264023295557465,44,2.021967037593379,96,4.760572181796817,True,-1.45894319714333,256.6286451060114,252.06814125957345,71.24166604602796,419.0883332092056,247.81166679079442,0.001045604019818592,195406.84876999116,0.2648961557752136,0.6031423884314837,4.197987837326304e-18,246.69530303836873,422.29124009714803,504.19124009714807,245.60875990285197,0.00011051123601896612,75098.65718015935,0.13235415013569535,0.5858696005575449,9.430183942374187e-20
3,36,3.6050209955211194,54,-4.467924019412159,55,-9.980461366280773,,,,,,,,,,,,,,,,,,,,,
4,15,-1.6982917582790833,75,-4.393202450548717,85,6.780627832826752,True,-0.8160129571017588,262.8731695719698,,,,,,,,,,,,,,,,,,
5,20,-3.6513203203742943,30,9.110900830193,30,-9.30511045078893,,,,,,,,,,,,,,,,,,,,,
6,8,-0.9283622647597163,48,2.9906177227477784,54,6.836134206328076,True,-1.0827577359435323,259.24150393337754,251.974238453618,73.82339752992841,176.86169876496422,251.27943374501194,0.0008013139719757183,121599.39429871495,0.10515246859298616,0.5999963386655385,2.766363739502253e-18,,,,,,,,,
7,2,-0.6104946693253748,43,-3.703495792845981,66,6.209603362712677,True,-0.709704831100387,265.82050215009014,255.36739908146538,85.38423322880683,164.8905399372841,255.00315335423863,0.0004935911443145403,265483.4948486098,0.07543774743159395,0.5952032282745188,6.7740814368886325e-21,,,,,,,,,
8,29,-1.785276481360068,56,-2.7420229161248137,90,6.709215363481025,True,-0.8315647748410819,261.4537367365159,253.207780841369,82.21602476346423,166.58961485807853,252.73679504730717,0.0005697315013539465,184155.80599865966,0.08636428238456287,0.5965077426998179,8.490259793446777e-20,,,,,,,,,
9,2,-1.8323394090685703,49,-1.9824175536535105,97,-2.0910110689548356,,,,,,,,,,,,,,,,,,,,,
10,54,-3.8160959660049576,88,-5.603534193930118,88,6.041427736424982,,,,,,,,,,,,,,,,,,,,,
11,29,4.540014713885016,31,-4.603376721594268,93,7.968885434904919,True,-1.127903428523019,258.1640744937697,,,,,,,,,,,,,,,,,,
12,21,2.8722682632830505,68,3.243676691108279,79,5.830547385345595,True,-1.2231601389862081,260.09446176851395,250.0606589775355,72.00921898070095,176.86553138842058,249.37815620385982,0.0008884915147642916,149831.3873196101,0.10461407650999696,0.601170130065817,1.3626084213007165e-18,,,,,,,,,
13,51,0.23632958336729004,79,4.054375070143703,91,-9.813754383160793,,,,,,,,,,,,,,,,,,,,,
14,5,2.6577074911747527,13,3.114224586808227,63,-7.313333893751595,,,,,,,,,,,,,,,,,,,,,
15,24,1.056945149090689,59,-1.2573444709556014,83,6.010425749489183,True,-0.9927954549724489,259.8648579992887,,,,,,,,,,,,,,,,,,
16,29,-4.819593197873189,83,-7.498012535968432,87,-7.935815931843524,,,,,,,,,,,,,,,,,,,,,
17,66,-0.4642122358878602,74,3.033943082686827,79,9.535126336837237,True,-1.096411234500026,258.56254143512086,,,,,,,,,,,,,,,,,,
18,35,-4.793344959985905,40,5.224906906772537,91,5.973647317848554,True,-1.2770876410333256,256.7913162760183,,,,,,,,,,,,,,,,,,
19,21,3.060964389059821,94,-4.3804325568432745,97,8.497138958867875,True,-1.1731584952357443,257.8347149134594,249.74602972450845,75.72790353506194,171.09592765129645,249.16802411623453,0.0007843747860308539,161994.84442537205,0.09629175899303934,0.5997606486491769,5.430621069342072e-19,,,,,,,,,
