,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,11,1.2495910212681682,72,1.6756900440619873,95,3.8178043417087277,True,-1.3546253828997408,256.27030539311244,,,,,,,,,
1,40,1.2824030875042247,50,-2.276505287792654,83,5.4944689330774406,True,-0.9529077167448413,260.4128785735514,252.29015343676136,79.03909136180096,169.64345481708057,251.75218172763982,0.0006555152022655645,179522.00882056987,0.0924370375545252,0.5978734164719913,1.6976848734537382e-19
2,15,2.327256749740414,27,-4.472801182881221,31,6.979750102942653,True,-0.4212731855375128,161.70440875572856,,,,,,,,,
3,10,3.1929046484246655,34,-6.1925888873197525,49,6.675662437208565,True,-0.49320639816341494,271.301711067793,258.666245619385,93.48012172523819,159.76409738019055,258.3839756549524,0.00035487111558550984,369689.6655126392,0.06605899609334684,0.5925252737729414,3.612075346572151e-22
4,61,-4.119697674759227,62,4.497530653586404,69,7.155540051356613,True,-1.0608654080667947,260.47703031830014,251.82797765415796,75.52867403708007,173.63720442224803,251.254265192584,0.0007526475264469237,194909.03033268245,0.09558453830382388,0.5993119515070213,1.8403242061225788e-19
5,14,-0.023208462235771776,29,-4.733459275864053,73,7.33690689641794,True,-0.9059527448661807,264.19753086419746,,,,,,,,,
6,15,-1.3681595034217295,75,-6.278116334485171,94,8.09136520761258,True,-0.6258996514899681,266.21518291816045,255.65810701728952,90.6607037589152,159.97642225534912,255.30785924821697,0.000406238202719425,210713.75692510992,0.07404065543973946,0.5935709270296634,1.127373565956607e-20
7,4,3.714750927654629,31,-5.231833487490547,87,6.852980559452249,True,-0.9582186436974247,259.4103542887875,251.99112423802794,77.93194073415953,170.3391644404957,251.4536118531681,0.0006754298198583745,175311.8785472273,0.09245064263679081,0.5981769456921794,2.0995849280700762e-19
8,20,2.2598869887301554,23,7.368099574633376,33,-8.734792300093767,,,,,,,,,,,,
9,16,2.0166159690902603,21,-2.7126974762894456,58,2.811448856416039,True,-0.9159510704753284,260.5266331852238,,,,,,,,,
10,40,3.2834421674013807,40,-4.851280695218403,77,-9.72692936868481,,,,,,,,,,,,
11,16,2.491425409405622,19,-7.790457662567767,21,9.972751159730265,True,-0.9777984061653721,261.9470639150836,253.74498635920207,77.36894018734456,174.35515214987566,253.1862119625311,0.0006959470472401065,201510.65363812423,0.09395144462581524,0.5984848352335617,1.1636910626514422e-19
12,26,-3.0474819732137632,28,-8.721855660138214,99,8.993433008436376,True,-1.0253749036875588,259.0042524896808,,,,,,,,,
13,40,0.6175369148444698,47,1.267480636122361,94,7.406103549998612,True,-1.285911457358131,256.71172646592106,249.22607948717288,73.44537362641192,174.24722417584715,248.55092527471763,0.0008809935791893249,124090.22261629756,0.10419122327883243,0.6010716094086146,3.389925292541779e-18
14,13,-1.2006785142884642,70,-3.3124954450386657,89,-4.135096118374237,,,,,,,,,,,,
15,29,-1.249079260459375,43,-2.730992253153916,77,-9.23297566369919,,,,,,,,,,,,
16,4,0.9403753900610567,43,-4.493235281469556,53,-6.411689342969938,,,,,,,,,,,,
17,9,0.6346071837058993,15,3.3232771872592988,61,-7.036997359185923,,,,,,,,,,,,
18,2,-7.43610224347117,48,8.645879059093708,72,9.96909792945944,True,-1.6544814026148997,255.3320971806209,251.57086768410636,67.039366049678,350.7,247.14015848758052,0.0012679941183223852,28797.640616973644,0.2699661764756001,0.6056844507194319,1.0644223466208231e-13
19,23,-4.576539157421,71,-6.32474748619779,81,9.813677069082672,True,-0.747329440128677,263.82297716681745,254.6415406294184,86.03794438861195,164.00276663316717,254.23241112227763,0.0004937965365485924,208446.56907523118,0.08020472008908061,0.5952068822179641,2.5419333820739715e-20
