,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,12,0.6352881793358716,14,-0.7985479930590156,77,-6.347645604896619,,,,,,,,,,,,,,,,,,,,,
1,32,-0.8135094486225487,46,-2.623870132738384,73,-3.6077580147048334,,,,,,,,,,,,,,,,,,,,,
2,22,3.686234968341232,50,-7.1249520695328865,86,9.772522439912201,True,-0.7331072859544779,263.2374486969823,254.36159831304292,85.09616946788303,164.6169355743064,253.9207661064234,0.0005048217830142499,183081.70729905195,0.08329492979564743,0.59540188251591,5.565232943400174e-20,,,,,,,,,
3,8,4.164229284432681,77,5.666351376231436,92,-7.007093351955684,,,,,,,,,,,,,,,,,,,,,
4,36,0.9121200981873834,59,-3.5441916516439846,81,-8.242045779638687,,,,,,,,,,,,,,,,,,,,,
5,8,-5.9869684144579765,18,6.951378326624756,83,8.930113669720026,True,-1.15201050200329,258.3811325502756,,,,,,,,,,,,,,,,,,
6,16,-1.1092331086136156,58,-5.0052886718802085,89,-5.743514088165216,,,,,,,,,,,,,,,,,,,,,
7,22,5.1054335616965005,24,-6.784395590241241,29,7.1348748174418795,True,-1.0464948451315534,260.30489066359587,253.01620951985194,75.63946746188873,175.92368047713325,252.39210650762226,0.0007514663942138872,156219.61200382322,0.09943846666614352,0.599295059143022,5.836346707062933e-19,,,,,,,,,
8,21,0.9455501006652405,45,4.24000055237782,95,5.547642602347034,True,-0.8988179986246447,191.10404074726193,,,,,,,,,,127.36107940748411,198.2,232.3765604646386,126.9234395353614,0.0008344773902580468,143004.52588323998,0.11680953860176388,0.6004503639568853,1.3329876028045885e-17
9,45,2.6923044445162976,64,-6.232873809439738,87,7.637000577598435,True,-0.7488205174847535,263.93150382912506,254.44465071959078,86.56790912297264,163.2009318422295,254.03302271925685,0.0004852370963444798,189658.50742627203,0.08047982707571587,0.5950539379171035,3.8776217230666385e-20,,,,,,,,,
10,24,-1.8767360410368141,44,-8.88337007632072,51,-9.222480310495897,,,,,,,,,,,,,,,,,,,,,
11,41,-2.5124862902342677,50,7.463359779093274,63,-9.065317567982017,,,,,,,,,,,,,,,,,,,,,
12,3,1.3970003770503663,37,-6.560982427020646,81,-8.07769293199534,,,,,,,,,,,,,,,,,,,,,
13,43,2.572947738332818,85,8.540021863263032,90,9.560806379764774,True,-1.2279620991344204,257.40259767054,249.7337639482846,73.54101165041862,174.48460699025117,249.0717976699163,0.0008563916356243333,132537.9986809917,0.10307522368958749,0.600745232705668,2.1848433836619642e-18,,,,,,,,,
14,2,-0.5513173065247496,58,5.954045234684674,87,-6.640585358725685,,,,,,,,,,,,,,,,,,,,,
15,56,-0.4885901802014896,84,2.6445711286033955,86,-7.907631231413397,,,,,,,,,,,,,,,,,,,,,
16,10,3.0069768255408302,27,-3.3479782311093658,66,9.535377394405522,True,-0.9662714607926776,259.99387518052816,252.6311691369407,77.41924060964918,172.29154436578952,252.03615187807017,0.0006920898241630234,148628.47178215126,0.0972017889877369,0.5984273159944,5.593549146016858e-19,,,,,,,,,
17,42,-1.1289710747367625,73,1.822915774310534,73,8.896726488274918,True,-1.025197458907624,261.75026341424615,,,,,,,,,,,,,,,,,,
18,32,-0.7432565413680301,50,0.8580787042846421,92,-1.2071428545252125,,,,,,,,,,,,,,,,,,,,,
19,29,-3.8761960957547252,43,-3.9209474155614927,72,-4.114313758191579,,,,,,,,,,,,,,,,,,,,,
