,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,24,-3.169258484044253,27,5.20321041928897,41,8.28585019820797,True,-1.1644139375467464,258.20555162381066,251.60053071302107,71.06289995471758,180.01031996377407,250.9474200090565,0.0008822412598751549,192975.52108938954,0.10203511330628028,0.6010880338665673,3.552182319769897e-19,,,,,,,,,
1,11,-7.479312422284945,72,9.224438420561789,76,9.533032733169826,True,-1.1023539299309606,262.4769629190352,251.14374302911534,74.7195473152858,173.99172838917147,250.53609053694285,0.0007835109832562253,174740.84690293905,0.09849621122426779,0.5997485590319451,3.8161575548412463e-19,,,,,,,,,
2,7,2.1380306564905744,26,5.225186887104705,70,-9.198363468993264,,,,,,,,,,,,,,,,,,,,,
3,7,-0.8629038581201414,26,-2.9155076467477636,97,-8.450427326098154,,,,,,,,,,,,,,,,,,,,,
4,9,1.9382165591809564,79,-4.665343434499523,99,-7.343862916106727,,,,,,,,,,,,,,,,,,,,,
5,8,-4.514040389511351,88,-5.145629927382274,94,6.755266070137228,True,-0.876839931577477,261.7092573735423,,,,,,,,,,,,,,,,,,
6,34,1.8556550375438459,53,2.2690515196137984,95,2.792555548077134,True,-0.6293579087464012,195.03253253253257,165.19096584537203,44.88958606626897,188.08958606626896,162.91041393373104,0.004419872605180999,218282.7256854884,0.23333439711628864,0.6290320969236993,4.679805342412114e-16,126.31754175287521,200.0,231.57264442962986,125.92735557037014,0.0007639171612358268,110493.72404379492,0.1107877741651867,0.599472433929805,3.3802527023101273e-17
7,11,0.07794423290232899,43,3.818107725322662,61,8.873228112184222,True,-1.3033574204594165,256.9033865669951,250.1319479961968,70.13941185342102,181.30364711205263,249.3321176293158,0.0009764141630553174,106227.10669173831,0.1132356846688854,0.6022944376146883,1.1625894007446022e-17,,,,,,,,,
8,48,0.2573922534012141,59,1.9394303842184701,63,-8.632548639704796,,,,,,,,,,,,,,,,,,,,,
9,17,-0.8556765259182004,29,5.490737692449898,41,6.833072187619305,True,-1.3646330867839787,257.6389799567454,250.61480365025585,64.15447303453564,347.2891053930929,249.78910539309288,0.00107234225093567,2161869.5339430887,0.11527250457140019,0.6034621637498195,4.736954604923396e-24,,,,,,,,,
10,28,-1.4606006081711538,74,3.145586754117062,83,9.622431557381926,True,-1.1273890154807698,258.1235556544199,250.62292173882847,74.21515528088898,173.94909316853338,250.0169689438222,0.0008018610200756261,179388.40416179213,0.09846376666245714,0.6000039067265442,3.6137666975067083e-19,,,,,,,,,
11,7,1.6717660065018851,58,3.0229160187041977,69,8.729936994121058,True,-1.1562515851291517,259.3422857555412,,,,,,,,,,,,,,,,,,
12,3,0.114785447873194,10,-4.148938310188173,11,6.687993375532773,True,-0.7841982578750671,263.53688890618884,255.460300307984,82.55344728253013,171.17672364126508,254.94109211957831,0.0005658691462200993,176275.76231289908,0.09027282000315856,0.5964438255031544,1.0934681733254056e-19,,,,,,,,,
13,20,-0.5243898159305971,39,-2.4504089384696526,58,-8.894016423897922,,,,,,,,,,,,,,,,,,,,,
14,10,-1.794426952148516,55,-4.272098657281285,80,9.087396416759198,True,-0.7950600539715117,262.86193015482695,254.1110713867141,83.20721594000462,166.04432956400277,253.7185568119991,0.0005426408029004291,367402.17881812376,0.07866279277377497,0.5960545684139316,1.9755313738480787e-21,,,,,,,,,
15,1,1.0114459115909646,38,-4.045023824738633,69,5.996605072532766,True,-0.7379220581941285,265.7660279059457,254.79817106379366,84.0124798091093,166.16998384728743,254.35750403817815,0.0005224434893038695,225802.81788563333,0.08324584164743645,0.5957090370278111,2.175403086404661e-20,,,,,,,,,
16,17,-1.5898544717300283,48,-5.567125144733156,85,6.986039104685155,True,-0.6885229124462459,263.65407843349345,254.92193634396378,86.12296787514137,163.85378072508482,254.51540642497173,0.0004802230269633282,217832.71791123805,0.07993874545835372,0.5949636963262109,1.8597241131595573e-20,,,,,,,,,
17,31,-2.394368111983603,37,3.5004447001668897,62,-6.371598762502993,,,,,,,,,,,,,,,,,,,,,
18,12,0.37140472446227335,54,-2.8640915994697913,95,-8.736709335249824,,,,,,,,,,,,,,,,,,,,,
19,30,-0.7491963616702719,33,2.1943818109383777,84,-5.6647114786545245,,,,,,,,,,,,,,,,,,,,,
