,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,14,-2.418567509700342,27,4.703817456765844,50,5.833590933181709,True,-1.509144388118928,256.99396177070116,254.9710339723262,68.76792512221722,384.2,248.8330187194457,0.0011495174021099886,23213.07711088362,0.31860080033085025,0.6043623362042713,3.526568431313086e-13,213.71650875839208,416.82612748527015,466.12612748527016,213.23693625736493,9.600675681677089e-05,151585.96169625744,0.09463228024965809,0.5852949344903369,1.6524349992699597e-21
1,51,-1.0587411336557846,56,-3.090700704901444,91,-4.986338047121189,,,,,,,,,,,,,,,,,,,,,
2,12,1.0369005958183504,47,-2.4230107092751414,48,6.762813999721523,True,-1.0474318813486068,259.57924397640704,,,,,,,,,,,,,,,,,,
3,26,-3.898957673257062,87,-4.476531796002304,98,-8.33193048993387,,,,,,,,,,,,,,,,,,,,,
4,22,-6.89879761835191,63,7.012750079598803,74,8.82528890521812,True,-1.1187064520977323,258.9149937872622,,,,,,,,,,,,,,,,,,
5,1,0.8068058441421915,74,-1.2152346403071128,93,8.316895430893766,True,-1.0660562198304504,259.11786689883365,250.97006288269415,77.16402263420312,170.73841358052186,250.38719547315938,0.0007238372773422036,146779.2239300024,0.09647263806636881,0.5988958953270055,6.859327108798934e-19,,,,,,,,,
6,32,4.198038012547986,49,-4.58599035567101,90,-8.473133341133785,,,,,,,,,,,,,,,,,,,,,
7,13,-3.9808689616165926,28,-6.134328336994672,46,-6.880808658346941,,,,,,,,,,,,,,,,,,,,,
8,16,5.844614019693921,32,7.669846989966821,93,-8.336954278143153,,,,,,,,,,,,,,,,,,,,,
9,1,-0.9522620906270252,1,-1.051607280541912,50,-9.065481323809566,,,,,,,,,,,,,,,,,,,,,
10,49,6.116883249859768,66,6.690050340173748,82,8.429896307954905,True,-1.686440480875056,257.74879075209105,,,,,,,,,,,,,,,,,,
11,46,1.7047577611536102,46,3.01299829499011,93,-7.7180744528039735,,,,,,,,,,,,,,,,,,,,,
12,7,-0.15804878480454043,26,-1.8131881920349002,73,9.310490461901352,True,-1.040349615592559,261.02985568006153,251.82410680361406,75.76481569850101,172.9988894191006,251.2670368602998,0.0007395077746021016,209242.81581208156,0.09415123879395593,0.5991232443746358,1.191930181550202e-19,,,,,,,,,
13,1,-3.031856926746041,9,5.479112962887378,10,9.084639643825845,True,-0.9571110840628339,259.5270826381937,253.3098369993462,73.83850357600761,180.21080286080607,252.6722992847985,0.0007544693322326842,184950.8281419298,0.10052661361343702,0.5993379796397358,2.6010384398122433e-19,,,,,,,,,
14,13,-3.466086347729089,40,-6.761873226333721,63,7.389858875501101,True,-0.5335570470725682,269.44616870128965,,,,,,,,,,,,,,,,,,
15,49,-4.632181521278977,78,-6.026030728808283,81,-6.749720063272537,,,,,,,,,,,,,,,,,,,,,
16,1,2.697893889995166,15,-5.056705214158255,64,8.851389157583846,True,-1.0346281741859775,261.7973303252492,252.06211352122915,75.85356036169807,173.59213621701883,251.4692879276604,0.0007401296485132941,176217.3987080196,0.09714144253566297,0.5991322146062079,2.966308734222735e-19,,,,,,,,,
17,7,1.794562239470432,45,-4.18541541193985,78,-5.618226823270067,,,,,,,,,,,,,,,,,,,,,
18,4,-2.5009475748697163,25,-3.5827541569672228,31,8.5019857472655,True,-0.8041655531385231,264.20011209935535,255.28160214906768,82.18856172274674,169.17313703364806,254.84228765545066,0.0005665619559190382,278917.643993025,0.08307114318868486,0.5964553072346932,9.667654246807767e-21,,,,,,,,,
19,12,0.4549735148192102,18,1.9637294839142232,86,7.196812614243161,True,-1.1393529664923328,258.23500983043556,,,,,,,,,,,,,,,,,,
