,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,67,7.065070879705097,74,8.386403859043341,85,8.89895035791201,True,-1.2870044831085912,258.61394045853007,249.2416330782275,68.98787848867573,179.81590886650682,248.52803037783107,0.0009843632161838645,161607.77088107087,0.10714965623537467,0.6023934243577421,1.3495790569988799e-18,,,,,,,,,
1,28,3.9751105864840284,31,9.036972532616595,85,-9.59084077564529,,,,,,,,,,,,,,,,,,,,,
2,16,2.6914047637243,20,-7.584375276208595,41,8.613109304603661,True,-0.7476047511167919,264.12497199014064,255.3461154125342,82.43090544860998,168.198543269166,254.933818910278,0.0005463421752994751,317052.19710554025,0.0804435704143027,0.5961171651251952,4.310993068923343e-21,,,,,,,,,
3,25,-0.40945755456937505,44,-2.8644671717816017,79,-5.221121367556911,,,,,,,,,,,,,,,,,,,,,
4,54,-0.1603792306975862,70,4.162405680078523,78,-8.01409408546036,,,,,,,,,,,,,,,,,,,,,
5,5,-1.8220097664415569,9,3.113441310943122,42,9.100663874049637,True,-1.0363137603865864,259.7723624588738,252.75867317318801,75.14881432446242,175.80928859467747,252.13023713510754,0.0007566371783762692,155089.78921231712,0.09986023773252076,0.5993689090446719,6.246745549990205e-19,,,,,,,,,
6,3,-4.312270391377265,7,-4.882327513794236,37,6.747268595829052,True,-0.9893721452231519,260.4302786878166,253.1663122058029,75.90807560067141,175.15403780033571,252.54865406655477,0.0007275185638418431,163399.70528406987,0.09893163954010233,0.5989495321376822,4.18433543607596e-19,,,,,,,,,
7,18,4.209064107707846,19,9.365378608914547,43,9.936016932647117,True,-0.8782790144576339,185.8594625700956,159.7279068879995,43.87510040950672,188.5,156.2248995904933,0.004370947498168868,11394.541766047472,0.2927999423811043,0.6287598196048348,2.012590738125533e-09,132.85410878674648,197.2,231.6992878489056,132.40071215109438,0.0007483646831096291,121179.39137684503,0.11640065503502542,0.5992506330374859,1.899668518204638e-17
8,5,2.179994193134018,62,-6.780641321024947,92,-8.819484680027731,,,,,,,,,,,,,,,,,,,,,
9,2,0.48354448002262984,11,-3.0249352297062178,56,-3.737690435161629,,,,,,,,,,,,,,,,,,,,,
10,29,-4.521879049161816,53,-6.338264774535642,76,-7.457849897627065,,,,,,,,,,,,,,,,,,,,,
11,58,-0.9783459442710232,72,-5.9986447391877,84,9.443948889558861,True,-0.682868134945097,265.0482157115656,255.40995677980072,88.50012364675595,162.22009891740478,255.0199752706488,0.00044740284050133987,195748.36943773887,0.07817889871793153,0.5943605981263128,2.4220811087519526e-20,,,,,,,,,
12,11,2.5462733949881855,62,-5.656268973945842,69,8.751358780868543,True,-0.8308424669319648,267.23097015844854,254.21666914352164,83.0927146722587,166.43417173780696,253.84145706554827,0.0005523586500288916,306064.28264511167,0.076830445909589,0.5962184477961427,4.937742734215943e-21,,,,,,,,,
13,21,-3.9326902391656127,23,4.270609313580319,83,9.497682772679223,True,-1.1216545519484644,258.31482481941686,250.89876424606047,75.08934784972205,173.51360870983322,250.2621304300556,0.0007848164070229754,146528.50397231948,0.10085722602102237,0.5997668268111167,9.639062040340255e-19,,,,,,,,,
14,16,0.5953295826850908,16,-6.64143177417865,66,-7.695608010738038,,,,,,,,,,,,,,,,,,,,,
15,4,4.256922261530242,54,7.284695712442204,59,-9.865754712609402,,,,,,,,,,,,,,,,,,,,,
16,15,0.18724679755270301,23,-1.0397400895788582,58,1.7070882993960002,True,-0.9011815669521445,260.9174391783088,253.35208593206556,78.41716815848498,171.290300895091,252.836566368303,0.000651773473372402,209871.11287214287,0.0903321724914278,0.5978158548188822,7.269449798698774e-20,,,,,,,,,
17,38,2.811584895717621,93,5.647988029537789,98,7.9238785223865555,True,-1.2370803591054282,257.3834744658475,,,,,,,,,,,,,,,,,,
18,14,-2.305858801766016,37,4.068332615079996,70,7.736417458450163,True,-1.394728176698009,259.99387518052816,228.3976343179181,422.7097303021158,485.47315353474386,227.66342323262808,0.00010045291788732694,95957.53963441246,0.11323263782025364,0.5854755081961265,1.9689060115866663e-20,252.7919443837484,70.92834486969213,397.82566897393843,248.87433102606158,0.0010107030292047926,198540.44237203736,0.25405649118861573,0.60271846572943,3.1194702218476903e-18
19,5,1.0365088363627954,24,-1.3877605524097838,24,-1.9355779224132252,,,,,,,,,,,,,,,,,,,,,
