,Ngb,n,epsilon,f,Trestored,Tc,phi_false,phi_true,Tn,alpha,beta,vw,SNR
0,4,10,5.450305736543185e-07,1000,490.97545708697635,481.1137429721412,151.8566223121549,315.98163234103134,480.056903920976,0.11739650544030623,141416.57712807012,0.04698358210933247,1.0607501715191902e-13
1,4,13,1.3382447120976568e-07,1000,386.06501979111744,380.3975489198145,119.68895193007705,249.0689898879729,379.56413273231556,0.11686797164072502,139276.39962698394,0.0469219671597779,2.2821266426399837e-13
2,4,16,4.299450041854131e-08,1000,319.0661957358147,314.6723782998375,99.1693366857103,205.9906713942423,313.8744232522901,0.11657148378214359,93831.68151249454,0.050501215417102,3.2947193615707094e-12
3,4,19,1.656836474216279e-08,1000,339.61691914926155,268.3629619029742,84.33905184658316,175.38037235248822,267.73466730875134,0.11642729453063615,115038.94756980428,0.04851348804979872,1.776491114927357e-12
4,4,22,7.281436122338325e-09,1000,308.8931871468374,233.9586664983254,73.44333479863937,152.7741921843945,233.42378677972874,0.11633063554221736,125168.38067667825,0.04793711664257596,1.7158939354340543e-12
5,4,25,3.534665398302382e-09,1000,285.1640199545103,207.38535208951853,65.14838932754473,135.4325860798781,206.88624536600085,0.11625401273027273,120994.54919325223,0.04918002533739917,3.05032728897321e-12
6,4,28,1.8549098083954337e-09,1000,266.28219864210797,186.2395498933773,58.39814607625112,121.5112624423768,185.82172266855156,0.11621759236858563,130097.15369633966,0.047484455609117904,2.744723127342243e-12
7,4,31,1.0364213737535038e-09,1000,250.89863644835705,169.010979435101,53.00748697125933,110.2681005743826,168.62401487279644,0.1161791677662503,122203.89450524036,0.04797249109483698,5.108909486504205e-12
8,4,34,6.097470015345669e-10,1000,238.12277665483924,154.70256138864815,48.51048285032985,100.91599956885263,154.3488193865357,0.11615280334872373,130289.35762424623,0.04794102552261921,4.833247539377462e-12
9,4,37,3.745500559021546e-10,1000,227.34290799340266,142.62937540089192,44.75900268682187,93.06369332725284,142.28970745456908,0.116125134247427,111897.10702418436,0.04893117167995223,1.3698712526130463e-11
10,4,40,2.3866649748130595e-10,1000,218.12488464372368,132.3052890337991,41.48983614479953,86.29739549616468,131.9986788776967,0.11611337287177227,120066.71485708018,0.048264549075611556,1.1780996017726697e-11
11,4,43,1.5695087306440924e-10,1000,210.15202290310472,123.37567939099578,38.64572757199505,80.4315377779171,123.10346444233373,0.11610807084871505,134568.48193614002,0.04708865239036263,7.882316036810969e-12
12,4,46,1.0608026156844064e-10,1000,203.18787407351647,115.57577035790942,36.28146446794013,75.41260423905194,115.29338351893884,0.1160809983159495,103461.42711499622,0.04956562276339461,3.92472404701571e-11
13,4,49,7.344165801256219e-11,1000,197.05231721239392,108.70384284193179,34.114844954060246,70.91831034288906,108.44074593121807,0.11607340795269541,105409.94459690677,0.04933109334493281,4.274773536406088e-11
14,4,52,5.193735216831697e-11,1000,191.60572248286888,102.60353516254506,32.13449854379618,66.8796801038429,102.37688976334931,0.1160806426860377,136749.02009239155,0.047115895404872155,1.2797688574483345e-11
15,4,55,3.7431501795611537e-11,1000,186.7381748239311,97.15174711305298,30.44599144775076,63.34134479872069,96.93038551536294,0.11606984994972562,123212.28597769889,0.04785576176550381,2.6193196949041848e-11
16,4,58,2.7438639986370365e-11,1000,182.3619663385477,92.25025069746837,28.886564880972873,60.12426595568578,92.04759386420763,0.11606998827503907,141541.6015769938,0.04698309681003142,1.486512896668729e-11
