,Ngb,n,Trestored,Tc,phi_false,phi_true,Tn,alpha,beta,vw,SNR
0,4,10,257.7889447236181,250.67956114855204,47.26187625121165,189.2208020002801,249.43506208439481,0.0009529278373639962,555382.0585035421,0.142204295181457,4.4413376965090985e-21
1,4,13,257.7889447236181,249.91188653687925,37.11185432681114,190.2261148465677,248.5032657984089,0.0010264353053617773,245889.74391713913,0.1518343805246062,3.722282094703357e-19
2,4,16,257.286432160804,249.31585784645944,22.357481703573974,191.3418478951441,247.74870076125842,0.001095746488142705,167684.2836634127,0.15865138995631145,3.3619730319828015e-18
3,4,19,257.286432160804,248.78399427886876,2.3241838509956354,192.42637580294223,247.01501151627104,0.0011419869815499938,105966.20558304054,0.16670893716456867,4.165682779530159e-17
4,4,22,257.286432160804,248.3528696287833,-0.018646247675931704,193.50574049636876,246.33867289814123,0.001158837353986675,68890.52524967094,0.17776529313501674,4.2452288778893023e-16
5,4,25,257.286432160804,247.9877784894925,-0.009750366210894867,194.342867357619,245.82623933677056,0.0011701392303616037,57727.64076373701,0.18414182645713406,1.136491706954147e-15
6,4,28,257.286432160804,247.6724571245064,-0.04324324041294287,195.14036770969037,245.34365003435477,0.001180916172319826,46886.89514757885,0.19108043823143084,3.5541124932423785e-15
7,4,31,257.286432160804,247.33316626165384,-0.009765148161619663,195.77185680866248,244.87289849724266,0.0011901580523919796,41417.56012342626,0.19638210092171204,7.158485042244667e-15
8,4,34,257.286432160804,247.10447422186874,-0.004883527749282024,196.37167626425537,244.54756416198913,0.001196759982139277,38589.421412525946,0.20021016471520744,1.0800193511902622e-14
9,4,37,257.286432160804,246.82705763874088,-0.009277343748827604,196.77974390757242,244.2355033454002,0.0012014281306675612,39298.784940337406,0.2016479096074645,1.0187991662025526e-14
10,4,40,257.286432160804,246.6183417945265,-0.04310277965465401,197.25334811242473,243.94945057589032,0.0012067248339673567,37219.78861865551,0.20464201883764374,1.3987431441567767e-14
11,4,43,257.286432160804,246.43141255850688,-0.007873564906162756,197.71297143935487,243.67673683574301,0.0012119685539430198,35191.250037831844,0.20789179989229573,1.940165726287224e-14
12,4,46,257.286432160804,246.22164629845696,-0.0527343749980389,198.08003909835017,243.40760642908444,0.0012164972661743506,34350.650250404666,0.21014724695302892,2.2713771641803236e-14
13,4,49,257.286432160804,246.02782473863633,-0.01556396483675826,198.4617707949673,243.12629904224337,0.0012215546833636412,31926.373163206354,0.21337550689469365,3.422443274405517e-14
14,4,52,257.286432160804,245.88026024861713,-0.04687499998789235,198.87802833336735,242.87241547497146,0.0012269120523866225,29458.07285771961,0.21719135300651105,5.375579070212092e-14
15,4,55,257.286432160804,245.7187605163017,-0.035186767519178375,199.22171031508628,242.6304863860916,0.0012313949112123064,27857.657829179032,0.22005530909437301,7.387029807984608e-14
16,4,58,257.286432160804,245.56346211405548,-0.012592287048466176,199.4586473608489,242.4623547334046,0.0012334625376052856,28484.749219405014,0.22055900808602932,6.70629040950398e-14
