,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,26,6.118964567947206,89,-4.478562086845508,,,,,,,,,,,,
1,56,-9.294405271424594,83,1.0203446322454148,,,,,,,,,,,,
2,1,-3.1427893320664797,93,1.9257599462944377,True,-1.142291128790632,257.87150384222844,250.2561836144688,75.03166066435391,172.27899639861232,249.67366786712924,0.0007874004708732072,160551.34077691525,0.09656468050538271,0.5998029409016659,5.739710445317525e-19
3,56,9.734809306949543,67,-4.986422393149024,True,-0.40627958153695026,,,,,,,,,,
4,70,-9.68121827224401,93,-4.401111863489318,,,,,,,,,,,,
5,26,9.905608264774774,68,0.6757937582282239,True,-2.3704990950369993,192.22567635883675,192.105965161384,14.592167923007713,283.2,183.45391603849615,0.005589614779357101,9281.254799764374,0.4093884378301963,0.6350999918436685,2.1185618864665797e-08
6,42,2.476078111666748,81,-0.4995692958762614,True,-1.9383743305941457,,,,,,,,,,
7,16,-0.8193989327823381,67,-0.11470941099816301,,,,,,,,,,,,
8,18,-3.21877697673507,33,-1.0161308131685907,,,,,,,,,,,,
9,62,4.348342798913514,74,3.6339835532067895,True,-1.2249910737971594,258.47603876277714,250.11142849076887,69.59449233140882,179.5766953988453,249.44110153371824,0.0009378385983098828,185737.61387264307,0.10365879213631807,0.6018079661545827,5.421635648271387e-19
10,10,-5.720487181271665,20,2.4054377437499213,True,-0.20917551917675564,276.28841869453373,262.7527122510876,102.83653379004579,153.63653379004577,262.61586655248857,0.00022451729582520928,2047417.292266383,0.04561628506954636,0.5894542905590974,8.799007757843697e-27
11,71,-9.13395923814462,83,-1.3157082034362961,,,,,,,,,,,,
12,12,2.922061703245806,88,-1.2473940472569538,,,,,,,,,,,,
13,3,-6.422885464095927,18,0.15183580947676312,True,-0.18093975045163804,274.9823637460065,262.6419545085235,101.81047426367108,154.51047426367109,262.49738143408223,0.0002320772579308393,1979539.566583169,0.04691387935966361,0.5896541646740475,1.2122154728146676e-26
14,50,8.81897548649643,64,-8.6162611432012,,,,,,,,,,,,
15,40,-5.162155355243616,66,1.1757286068134754,True,0.5416096101728707,314.1992037204322,,,,,,,,,
16,26,-5.585174091174528,91,4.566194101836654,True,-1.0062391341618737,258.9790992994357,,,,,,,,,
17,63,9.420850007233945,92,-1.2393800389046525,True,-2.1854059819126554,,,,,,,,,,
18,55,9.678446788018768,61,-0.876657470195374,True,-1.013651664178902,261.6386757127498,252.87593518850773,77.21620935772366,173.3097256146342,252.29675812845528,0.0007109038354980362,168570.61532796,0.09580737262433695,0.5987063194770339,3.1550084038503465e-19
19,32,-7.728549878676114,50,-6.674574612912276,,,,,,,,,,,,
