,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,43,1.8661346667878362,78,-0.03164622155012964,True,-1.1284530345194475,334.5200746665525,256.4094650414021,112.55807506148254,144.8903753074127,256.3419249385175,0.00021940381507413632,52483201.11743595,0.03239538824226356,0.5893171415629882,4.368814372756489e-34
1,26,-7.884893330639708,51,-2.543864550250861,,,,,,,,,,,,
2,26,-9.524481660053905,72,-1.0122155021214656,,,,,,,,,,,,
3,35,-7.993692369873029,85,-7.2133197299541285,,,,,,,,,,,,
4,27,8.912894623126807,61,-0.4214385249267689,True,-1.7148661132678253,,,,,,,,,,
5,21,-7.95889086433009,43,2.171537525356843,True,-0.051520726492076604,280.6279530559366,265.47214507996523,109.22742814213598,149.3123802368933,265.35752395262136,0.00015728773840865113,1064565.1613919477,0.04150418364898143,0.587499114254254,6.29296777991177e-26
6,4,-4.597092199087223,84,-1.8538698895933248,,,,,,,,,,,,
7,13,9.164791941317993,80,-7.7486014585150675,,,,,,,,,,,,
8,7,9.717989321501406,73,3.7416207175032152,True,-1.0874571773799064,260.0789588142795,,,,,,,,,
9,64,-8.72541198761292,83,-6.37759380435631,,,,,,,,,,,,
10,3,1.2369816964781588,32,-0.044413955977443464,,,,,,,,,,,,
11,65,-9.60832696726067,67,0.43812075145488727,,,,,,,,,,,,
12,38,-5.042407454355715,82,-3.8337665639425866,,,,,,,,,,,,
13,41,-8.649508746994318,65,-2.4806573054191556,,,,,,,,,,,,
14,73,-3.106807264997748,80,2.030684461977083,,,,,,,,,,,,
15,33,-7.14604251848203,37,6.293391410719021,True,-0.08426115427601247,281.7404756628036,265.5486294940108,110.01151960651214,148.7820261420162,265.429493464496,0.00015313341579305603,700150.9727306135,0.04235092145945223,0.5873653916448076,4.764249418865824e-25
16,19,5.662119260029556,96,-2.5303252745881055,,,,,,,,,,,,
17,48,9.743891473086663,95,5.435283728752845,True,-0.15423789020223067,191.13725074621593,169.19338328232016,44.204812385884296,190.5,164.4951876141157,0.004434361975930946,15434.159121480729,0.32866936207519787,0.6291124118511503,5.724173265524882e-10
18,31,2.9358945155024756,56,-2.4614270578863433,,,,,,,,,,,,
19,17,7.410242475453078,44,-1.392294922587098,True,1.3896951629606522,,,,,,,,,,
