,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,54,3.5120068996625893,60,6.294073415966416,94,8.92659725975044,True,-2.1259439622571707,256.27620108821924,,,,,,,,,,,,,,,,,,
1,14,-0.537011700425051,75,-5.641319382790389,96,6.30798887478818,True,-0.5281107603495171,267.5620675620677,,,,,,,,,,,,,,,,,,
2,6,2.063599287163793,34,6.990933327451582,72,-9.582158632300446,,,,,,,,,,,,,,,,,,,,,
3,2,1.6075897276861966,37,5.0375082813263425,65,8.372328856496903,True,-1.4876106986698368,258.0592340165471,218.97868161137922,416.28435472288385,475.3921773614419,218.3078226385581,0.00010447213828946331,106330.76071244787,0.11060946686247651,0.5856352837545361,1.4936489726028507e-20,,,,,,,,,
4,12,-2.4737967992365455,54,-5.843207468645872,84,-6.489203927234756,,,,,,,,,,,,,,,,,,,,,
5,6,2.28022401753009,11,-4.460786215214634,94,-6.659461165309503,,,,,,,,,,,,,,,,,,,,,
6,46,-5.549913505126072,59,-6.412176622058752,86,-7.594471212556972,,,,,,,,,,,,,,,,,,,,,
7,47,4.551753082136155,51,6.033638716410017,52,-8.344480227707527,True,-0.42652921416806144,,,,,,,,,,,,,,,,,,,
8,4,-0.6696328430241838,29,6.503886679776269,68,6.909566327177007,True,-1.1021185572065302,188.20383580647717,,,,,,,,,,130.50066960762953,196.7,232.8,130.07615248078807,0.0008411583363553509,288845.2571389756,0.1136789023600374,0.6005406837734162,3.6525664906789357e-19
9,11,-1.3540714005843846,42,2.5204027471383768,47,-9.531369565561803,,,,,,,,,,,,,,,,,,,,,
10,26,-0.9549465876098111,52,-4.543875840168516,56,4.958551604519803,True,-0.3954615409552231,273.7758110401326,260.0042330958898,97.99022674195987,156.29022674195986,259.77744331451004,0.0002907047542286614,531791.4170092241,0.05903251616760219,0.5911027883939419,2.5955373447702948e-23,,,,,,,,,
11,51,3.4274731588636946,84,-7.875875362127802,93,-9.958483700374543,,,,,,,,,,,,,,,,,,,,,
12,18,0.20102806999033263,29,-1.2121663964995566,99,1.9862046480271545,True,-1.091345891357329,258.45844252288504,250.2791325458187,76.38934343075431,170.9136060584526,249.66213131384916,0.0007484165808997911,129124.42429383931,0.09942426341883082,0.5992513771622756,1.5296185288804113e-18,,,,,,,,,
13,1,-3.7825063067852094,7,-7.2720170439011955,89,-8.124747593235968,,,,,,,,,,,,,,,,,,,,,
14,6,1.432846736281654,36,2.7212348080506406,97,6.33757710859625,True,-1.2857240750257635,257.2996276699979,,,,,,,,,,,,,,,,,,
15,14,1.2704532679167144,53,4.714024664423363,83,-6.281154439865491,,,,,,,,,,,,,,,,,,,,,
16,33,3.5792660364672724,34,4.0725192799726155,92,4.788379636290095,True,-1.6061282680605815,143.76175375429662,142.89819663217597,16.8,73.1,141.5187520091415,0.005332083277169136,354134.6663799453,0.19499175275309547,0.6338300805952959,7.553017011558374e-17,,,,,,,,,
17,12,-0.13542211191128573,21,4.444356771668998,28,-8.193537091107526,,,,,,,,,,,,,,,,,,,,,
18,42,-0.6286964449240973,49,3.761827052913006,72,-4.608935174443511,,,,,,,,,,,,,,,,,,,,,
19,9,-1.0677766181499955,32,-5.505885269550273,66,6.738017549880084,True,-0.7420230899697182,266.56943879166107,,,,,,,,,,,,,,,,,,
