,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,16,7.300024718796898,33,7.206552291240975,True,-0.43354385132631734,189.25910997656257,160.219260824059,44.25860784827458,188.7,159.04139215172543,0.004121978675839671,1234627.2587298083,0.17083872787938822,0.6273474003528327,3.653175239217172e-20
1,66,8.498655482955801,86,4.610406024417891,True,-1.4959501466243095,258.40974177556376,247.7208344832645,65.0554370139105,188.0132622083463,246.7289125972179,0.0012352480223979945,84138.1450478385,0.12673660911010068,0.6053257817701071,9.671101401946876e-17
2,32,-6.944729138071066,86,-2.6022046426897845,,,,,,,,,,,,
3,42,-9.998368758396875,70,2.231265649913139,True,0.5325471484963901,313.8391982307325,,,,,,,,,
4,76,-8.654611717544832,98,2.5058383119343812,,,,,,,,,,,,
5,16,6.053681420015884,98,-4.110959155232985,,,,,,,,,,,,
6,25,9.691388803926422,46,-1.8779334571038184,True,-1.4408235808194756,,,,,,,,,,
7,45,-9.303582491557027,66,0.6315769631092589,,,,,,,,,,,,
8,4,6.2037728316246685,99,-3.60894488184128,,,,,,,,,,,,
9,2,4.678910013651219,80,-1.229217893635786,,,,,,,,,,,,
10,5,-2.565836198152665,79,0.6110711551436587,True,-1.0991116306599398,258.3784092415875,251.11152991632812,75.43072997604028,173.37843798562417,250.47385400479195,0.0007715159097589753,145072.2475116263,0.10091289250864724,0.5995799550126385,9.601067447794809e-19
11,13,-8.191291758456599,16,1.635059978445586,,,,,,,,,,,,
12,1,6.632813300772781,6,5.428260639554516,True,-0.9601556336114462,269.6951831497975,,,,,,,,,
13,28,-4.222840306884812,66,1.1495483437781253,True,-0.2860882673916687,274.29438417092734,,,,,,,,,
14,56,8.667140976785749,77,-8.104256244203064,,,,,,,,,,,,
15,34,-2.013710091906491,55,0.2296344442325413,,,,,,,,,,,,
16,3,3.6865544785403657,39,-0.7111746267692709,,,,,,,,,,,,
17,96,3.5435997263028174,99,-0.30062006002288655,True,-1.1472088715600615,257.5985504068482,250.13975138317562,75.20657758172258,172.10657758172258,249.54835560456937,0.000787062361508831,160062.1773228387,0.09733407832654815,0.5997982191244917,5.916412964839581e-19
18,76,8.202487076253124,77,-6.7591193825147355,True,-0.9676466578371715,265.1040317706985,253.542116761258,83.08470553391672,166.93852915043755,253.15382361652084,0.0005913793566202105,393618.7052899018,0.07827191154739203,0.5968619049514619,1.814318724066002e-21
19,4,6.71616816023765,72,-0.44001188305717065,,,,,,,,,,,,
