,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,13,-7.681577021456771,50,-0.02029972888726661,,,,,,,,,,,,,,,,,,,,,
1,52,6.136635829715505,86,-4.688717325029305,,,,,,,,,,,,,,,,,,,,,
2,19,6.132298854425194,66,6.078231399175355,True,-1.1998268147192792,259.53026196928636,240.8945156724716,734.5792634423678,815.1896317211839,239.8103682788161,4.845350037794458e-05,69042.22665603094,0.1341946791361699,0.5830057412498741,9.203352508228564e-21,255.50390809570675,76.08798955176208,716.5551958207049,249.7224020896476,0.0009404594674085265,11264.602133458744,0.3100719985602366,0.6018413454731233,5.7013049784921085e-12
3,27,-9.79842368330323,30,-0.04261484059263232,,,,,,,,,,,,,,,,,,,,,
4,48,9.192697926218024,71,-8.757905122861702,,,,,,,,,,,,,,,,,,,,,
5,12,-4.384295938949261,91,-3.698049385095457,,,,,,,,,,,,,,,,,,,,,
6,6,1.512933806666144,54,1.1839294773105031,True,-1.0533202365137195,260.3772585174587,252.2646601137105,75.219893367253,174.9319360203518,251.65602132654942,0.0007593540981975021,165913.5633609239,0.09836998637600883,0.5994076071854184,4.41758932452425e-19,,,,,,,,,
7,19,1.559581277603776,39,-1.1245020882954488,,,,,,,,,,,,,,,,,,,,,
8,2,6.684255684023654,64,1.6234037109520365,True,-1.0673595607265844,261.16339685661217,251.85562364919633,75.22417712103719,174.2345062726223,251.25516457579258,0.0007622548944841032,178278.81464415824,0.0977680978445759,0.5994488448401066,3.107154824847738e-19,,,,,,,,,
9,28,8.63763210488528,28,-7.09265690915011,True,-1.0026316683045307,260.039855200632,253.19822641361102,75.5222487552134,176.13334925312805,252.55555024895733,0.0007406909929125486,144572.90605420418,0.10090079114187356,0.5991403083604637,8.414003399406839e-19,,,,,,,,,
10,48,7.847879384776167,62,3.6674815123813964,True,-1.392944775576662,255.15975990144423,248.82960667058998,63.90788842060794,189.64473305236476,247.91842231587842,0.0011865950939071025,115020.33900639338,0.12122066869478335,0.6047835046664618,1.6413490135081588e-17,,,,,,,,,
11,14,7.8203843088105245,73,1.842667377665597,True,-1.3387218535902516,149.345954201039,,,,,,,,,,,,,,,,,,
12,8,5.6973223764111385,36,-3.715371495173101,,,,,,,,,,,,,,,,,,,,,
13,66,9.765734676306188,71,-4.1802327199050175,True,-0.8893660344706605,268.27993637809595,255.5866207839935,91.09499473503902,161.54624605127927,255.25125131624026,0.0004587961877495387,283047.67620578245,0.07236631763687126,0.5945724700068206,3.643108702956703e-21,,,,,,,,,
14,38,-8.252683232533489,62,2.4582529077703708,True,0.3113891733105825,298.49518717831467,,,,,,,,,,,,,,,,,,
15,78,-5.845799041247064,86,1.4374479007969239,,,,,,,,,,,,,,,,,,,,,
16,63,9.78763464186223,81,-2.3513568392603945,True,-1.0970412298982428,,,,,,,,,,,,,,,,,,,
17,6,-5.1232906564447696,77,0.5415108678787703,True,-1.0793681489084135,259.1071432277236,251.37592012647332,75.30853003150922,173.30511801890555,250.79829399369817,0.0007623300225036633,186605.4043619229,0.09596520554726852,0.5994499117715636,2.405560542793539e-19,,,,,,,,,
18,41,4.811081681850062,46,-0.41507061788039223,True,-0.9897222968002934,262.00676487804003,253.38818880038863,77.75219428392644,173.47131657035587,252.80956114321472,0.0006958862624853849,169278.29577914916,0.09568391021998465,0.5984839300931174,2.871380660398864e-19,,,,,,,,,
19,41,8.023205936498265,67,5.212604622206204,True,-2.4740238808736104,260.1814259366665,255.7277625890317,60.49667334092379,337.3,248.70110888635875,0.001989043365739024,18669.160419979107,0.3342473157653954,0.6126007419483656,6.318302985434518e-12,,,,,,,,,
