,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,71,8.130136168933035,99,-6.180412975194263,,,,,,,,,,,,
1,24,-6.98729921602828,76,5.845133777807936,True,-0.9209541506635598,260.3533072367761,252.6853999803525,78.41106133275146,170.70553066637575,252.13148977787478,0.000659093561975228,175695.16133006933,0.09377740905287987,0.5979283055263749,1.964514212577706e-19
2,20,7.632531164440426,87,3.9957054629608315,True,-1.2497420916387143,257.6216958388447,225.07596617600674,1020.7941143482267,1093.3542476329394,224.32287618353038,3.280060734603851e-05,104094.51785594526,0.11703665103085094,0.5820075180936041,3.329498509912802e-22
3,17,5.606750334235969,73,0.2727926627586399,True,-7.895345457349919,216.92973867914765,188.73515270802486,24.0,269.8,185.97045259749413,0.007413487009219483,492256.1302433539,0.23970075010802655,0.6432728480478624,2.668727046440576e-17
4,45,4.196968801700045,59,-2.1757166101124543,True,-0.46098122111661255,,,,,,,,,,
5,58,-8.595338860705082,76,1.3071364163449744,,,,,,,,,,,,
6,25,-9.440685083540687,39,8.786379535392484,True,-0.43862640018464194,271.4170961084541,259.42242762573693,94.92151145660173,158.79720916528137,259.17569770867965,0.00033036627574753767,515105.99306594493,0.06168275719851225,0.5919989954892628,4.897917304383263e-23
7,69,-7.820041644747788,71,6.240836916755505,,,,,,,,,,,,
8,37,-9.409270554181878,40,9.024746317204869,True,-0.2296058863108605,276.88607077234,262.97441134808037,104.75731248883818,152.05731248883816,262.81067187779047,0.0002082023789306502,665947.1117668261,0.04983614236480158,0.589010883754443,2.1760480832186614e-24
9,36,9.94779481142842,43,-4.980410469090366,True,-0.4015016605454339,,,,,,,,,,
10,32,4.362992025520864,51,2.6321328376996043,True,-2.3308828090280684,259.03390997956996,255.13597408996077,60.05841493829997,332.3,248.41386168723335,0.0019453482985290493,18209.171611696944,0.32753372596385744,0.6122242661780627,6.290293602513631e-12
11,50,-1.3478050313131504,77,0.8409609257169173,True,-0.20311470144034985,276.6570903538059,,,,,,,,,
12,75,6.069426751813406,84,3.3232319373444437,True,-1.1580125076973922,257.3775104639302,250.49522239352345,72.76887676443103,176.02132605865862,249.8262246471138,0.000846179428139343,151469.6419447796,0.10348648713582728,0.6006083178106818,1.0848551806472413e-18
13,42,6.574751705722395,94,1.7746484192402399,True,-0.8448401555110441,182.41490202490934,172.82367841628476,37.5775472286847,189.2775472286847,166.4224527713153,0.004572222262589916,10324.718262678563,0.37788332803141744,0.6298694033420226,6.7752674293929676e-09
14,65,2.2656083053378833,72,-0.4986110470046725,True,-0.9626395625749172,266.59773833166116,253.83540375205712,82.74151338346418,168.1249080300785,253.39169732330717,0.0006008630714837257,255013.943161484,0.08361821251865696,0.5970149417083268,1.8565309588657526e-20
15,5,2.0057486863467098,84,-0.1277931809717039,,,,,,,,,,,,
16,36,8.005276328451199,39,7.612288735614889,True,-1.0464010550538745,259.80795610425247,252.55287513678013,73.93679788551194,176.64207873130715,251.95264042289762,0.0007787565561508037,202039.1895129819,0.09765345059878787,0.5996818923117705,1.7627771593401788e-19
17,57,5.6278924478210115,77,-5.2168803812894655,,,,,,,,,,,,
18,8,8.030958839815536,36,-4.920484084113901,,,,,,,,,,,,
19,9,5.404435320075775,69,2.5750600739188894,True,-1.093222337667318,260.0281421176943,235.50514826490127,1630.6418287375395,1728.048365747508,234.17581712624607,1.8645650133634538e-05,74118.596836925,0.15177033419249739,0.5808651698605822,3.1275700347087023e-22
