,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1
0,49,5.501802622934811,84,-0.7869547314964915,True,-1.1882128272309043,,,,,,,,,,,,,,,,,,,
1,69,-9.500823319303981,81,-4.764718681397864,,,,,,,,,,,,,,,,,,,,,
2,20,8.97025439325914,20,8.675308648397436,True,-0.987603256005603,260.46494837917834,253.37494246192557,75.29465196073947,176.4567911764437,252.78106960785212,0.0007360063445219987,191597.81092213286,0.09696677324139744,0.5990726644846194,1.8890953441668668e-19,,,,,,,,,
3,20,4.267027009555431,53,2.4310858635013783,True,-1.6255356105441294,187.89860729019043,159.2731637161043,42.8027422295783,186.6,156.19725777042171,0.0045579893877428865,130029.02373072617,0.2747489743779765,0.6297918429560612,1.1405915058360005e-14,158.00070565473112,191.6,302.1717309587822,141.77173095878217,0.0004417907000680572,5825.507698957437,1.0,0.5942552110994168,3.3795398611656833e-10
4,19,9.530405933348142,54,2.3827233329652753,True,-2.770877133209491,192.2633744855967,,,,,,,,,,,,,,,,,,
5,67,-5.965152955152357,96,-3.895374365120789,,,,,,,,,,,,,,,,,,,,,
6,23,-8.532075043661646,51,1.7452147167096577,True,-0.018934678792775644,281.72534674592276,265.8980574550222,110.27464370882721,148.47464370882722,265.8063390727932,0.0001464128919404638,1785349.101139874,0.03713719304602058,0.5871450946074575,3.1624181246138968e-27,,,,,,,,,
7,46,8.167169853696386,80,-0.5729764549747447,True,-1.1787546292104703,,,,,,,,,,,,,,,,,,,
8,75,-4.95217678605766,77,-1.9395011679814367,,,,,,,,,,,,,,,,,,,,,
9,56,7.334413606924922,74,7.168478535594751,True,-1.4301228517131859,255.24650693732818,,,,,,,,,,,,,,,,,,
10,1,8.220093247453278,8,-7.639192200105612,,,,,,,,,,,,,,,,,,,,,
11,78,4.980156716781355,96,0.031714572392736784,True,-1.1053573811427975,258.3131143167443,,,,,,,,,,,,,,,,,,
12,78,0.5801810785307282,89,0.30393068861750194,True,-1.1927787357066457,257.00948457488494,250.00515568412567,71.90489736880704,176.54293842128422,249.3190205262386,0.0008782228511241272,147803.7640400915,0.10494477225894645,0.6010350920512582,1.416882600710665e-18,,,,,,,,,
13,7,8.116870902602212,80,-2.9241920087919437,,,,,,,,,,,,,,,,,,,,,
14,8,-5.972316826691424,23,4.290990060032833,True,-0.7300442045435261,264.30379162021154,255.61659712363107,82.05031933025802,169.60025546420644,255.14993613394842,0.0005529478704631046,234506.5463971803,0.08556597606230475,0.5962283361291095,2.2358080722659323e-20,,,,,,,,,
15,3,9.627812166834097,74,2.9156948159540725,True,-1.0896509732845536,262.2340255845855,251.3735008673889,75.20127152728628,173.66076291637177,250.77974569454275,0.0007695038319732053,181908.05247989116,0.097323506777949,0.5995515396058189,2.884852419132296e-19,,,,,,,,,
16,60,2.261805441945503,95,-1.5600121313554922,,,,,,,,,,,,,,,,,,,,,
17,50,6.5391991530716,80,-3.2375003113110417,,,,,,,,,,,,,,,,,,,,,
18,63,4.77481600165714,97,-0.7126656767913779,True,-1.893327576374601,,,,,,,,,,,,,,,,,,,
19,22,7.97124880795867,82,-1.1044093932928085,,,,,,,,,,,,,,,,,,,,,
