,n1,a1,n2,a2,EWSB,chh,Tres,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,76,-9.260143936727465,91,7.433513376729252,True,-0.08390740769341964,281.3470303314987,,,,,,,,,,,,,,,,,,
1,28,9.97183893206553,89,6.726307083389095,True,-1.40510573447442,259.3288873158962,227.77137244579112,722.9318800588808,783.2545867059205,227.12270664703976,4.728029279771742e-05,107943.7049562778,0.10673806583800646,0.5829371917519286,7.960506375118462e-22,,,,,,,,,
2,49,5.940349116735966,60,-0.5549482908700494,True,-0.9153551299385327,266.9428510728702,,,,,,,,,,255.47429927829495,88.96170055168136,164.07127541376101,255.10957486207968,0.0005001338889966382,277954.0358487634,0.07555034200696825,0.5953192407479713,5.624579900827421e-21
3,31,-5.78208329482254,69,5.239113120355919,True,-0.7163846247617787,265.2751872576014,,,,,,,,,,,,,,,,,,
4,5,-2.5434747496338206,31,1.0086860835017486,True,-0.9528922377064243,260.67684230891916,,,,,,,,,,253.5014874762847,76.27139553944919,174.5856977697246,252.93810074342514,0.0007058050126936543,206677.97107287066,0.09442198799138223,0.5986310893408914,1.0842872359279144e-19
5,62,-7.9126595077603135,89,3.985827617803235,True,0.10308164280052909,288.74667235074435,,,,,,,,,,,,,,,,,,
6,21,-8.571427723837232,97,0.0010868999728330664,,,,,,,,,,,,,,,,,,,,,
7,25,5.980161034087244,31,-2.5776107882207278,True,-0.4244775259958803,,,,,,,,,,,,,,,,,,,
8,8,-7.527734213479221,26,4.521385771448935,True,-0.7716427941425258,264.0306809957698,,,,,,,,,,255.17339134533552,80.88131299508312,170.74065649754155,254.6531145008195,0.0005826274269472222,186562.94521892697,0.09041827539693485,0.5967195444323881,9.084263153470188e-20
9,49,-4.551866033571006,61,0.6820753138563784,,,,,,,,,,,,,,,,,,,,,
10,29,6.602456360349937,87,-3.3199320111061574,,,,,,,,,,,,,,,,,,,,,
11,19,8.096549579533992,77,-0.4483806931309644,True,1.452861080464981,,,,,,,,,,,,,,,,,,,
12,19,4.350466321565417,28,-3.140172656021849,,,,,,,,,,,,,,,,,,,,,
13,65,-4.8352569551787035,68,-1.0037290734990467,,,,,,,,,,,,,,,,,,,,,
14,47,-4.398362170105332,71,4.2850587501996795,True,-0.46960170959913805,268.77049465540074,,,,,,,,,,258.4610097775382,94.34845308026439,158.53633981019829,258.1878867299339,0.0003396781070330317,425319.80615111,0.06499777635528219,0.5922012691216185,1.5354222192418403e-22
15,33,-9.05832974058952,96,-6.328072046424193,,,,,,,,,,,,,,,,,,,,,
16,17,-9.03730540422666,62,-5.111476683573233,,,,,,,,,,,,,,,,,,,,,
17,13,-5.7964792602213455,91,-2.2501291945190793,,,,,,,,,,,,,,,,,,,,,
18,30,7.034534028408039,45,-0.767354673639943,True,-0.8018353057735734,,,,,,,,,,,,,,,,,,,
19,37,-5.730128768684799,86,2.283832002631211,True,-0.4706002223632145,267.37544298519913,,,,,,,,,,257.6653217792529,92.5307011595753,159.6307011595753,257.3423247101062,0.00036141083680159676,220223.87883678268,0.07079990012638751,0.5926625414646811,5.687573668519701e-21
