,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,58,-7.737384915738943,99,-5.317955230456239,,,,,,,,,,,,
1,24,7.6043733368989805,96,5.684734337402649,True,-1.2680634397885018,257.4665913289169,,,,,,,,,
2,54,-6.170363142532929,85,4.528206711836242,True,-0.3510641126149729,271.41968983085457,,,,,,,,,
3,40,-8.908301056489094,68,2.5422570877859343,True,0.24819722254497145,294.90270179942434,,,,,,,,,
4,36,2.9103709229111665,99,0.6740778169998087,True,-3.1146999865562695,197.01399535580123,173.92462855674782,38.5665539448481,293.7,167.63344605515192,0.00584555144652973,69916.259133343,0.37170293748468186,0.6363298904047641,1.0203380502847333e-12
5,20,8.647432435621312,30,-5.418973588711127,,,,,,,,,,,,
6,9,2.1085395427677405,38,-0.41156839122010425,,,,,,,,,,,,
7,48,-7.091519492562719,74,6.795000257524755,True,-0.4769533150197082,269.01742620535487,258.230449605511,94.15707328025451,158.71424396815272,257.9285853439491,0.0003439791587993193,326536.604628819,0.06839586995991621,0.5922937355592809,6.510721274566436e-22
8,65,4.1881496388245765,77,2.9459589440453797,True,-1.2278581443742091,259.3697607072093,249.92534928331935,70.16169709529707,179.29701825717822,249.1676605809406,0.0009354085538264644,121644.37797383906,0.11027916010848512,0.6017769735370089,4.965157934838436e-18
9,60,8.171389423205294,64,-5.954011994240185,True,-0.43602195061722593,,,,,,,,,,
10,73,-4.868502340020973,92,-1.7091983538543403,,,,,,,,,,,,
11,68,-9.328084450196659,92,1.8263096088274473,,,,,,,,,,,,
12,34,-1.878096187395819,60,-0.2290327011329456,,,,,,,,,,,,
13,9,-7.414690618845004,18,3.014275381381882,True,-0.18001611735273432,276.84509326845097,263.1803128155354,104.130636544471,152.93063654447099,263.04234086388226,0.00021108090130184023,1716452.1835767746,0.045771343031773534,0.589090372713183,1.7597068278547975e-26
14,49,8.71371080401397,61,1.5399648324836228,True,-1.1969021971901594,258.4940450747195,250.2698659692989,66.23428039007528,184.44056823404517,249.45314392198495,0.00100398793899858,125167.03133676489,0.11449184682509779,0.6026360252499708,5.719247384231248e-18
15,17,-9.016678243567815,71,5.913539320704341,True,-0.9889598381509467,262.15231762417375,252.207331549593,76.53800999567488,172.12280599740492,251.69239800086504,0.0007073785123905777,248082.31230695176,0.09047447828260928,0.5986543354678496,4.1282196671038657e-20
16,15,-3.9708529961645738,84,-1.8992563589178815,,,,,,,,,,,,
17,25,9.310492369591358,30,-2.999781730616169,True,-0.5892041217984597,429.0962682246434,,,,,,,,,
18,4,-3.4872863366206435,95,0.9952418967504801,True,-1.149797837204542,257.7636722869287,250.09433484581263,75.0628209963022,172.17211574722663,249.50929475092445,0.0007900988579791951,165883.73136727035,0.09678867187176385,0.5998405869143028,4.963279275887653e-19
19,35,-9.580116527217308,86,3.2729130404096303,True,-0.4693052486468875,267.7425394754042,257.6672403776767,92.3855925640673,159.72847405125384,257.34288148718656,0.00036286517191432097,242718.62363115005,0.07097312085436255,0.5926928937535991,3.581071120344054e-21
