,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,66,2.9556030554200916,88,-1.9916789292912433,,,,,,,,,,,,
1,1,-6.581812151201303,73,1.0805200093211127,True,-1.0866614722569132,260.0789588142795,251.4260494089287,75.05736953891713,173.61802715418784,250.86065761527072,0.000768521674460178,206393.80849775203,0.09494634339984195,0.5995376551072714,1.463691370156858e-19
2,16,-2.9736880122931364,83,-0.5647604712624688,,,,,,,,,,,,
3,25,8.619534258358893,57,-3.6963106290312586,,,,,,,,,,,,
4,18,5.670435772567174,49,5.0462215827840495,True,-1.4986909804899016,189.06614571027916,,,,,,,,,
5,7,-0.4801252192661494,16,0.04079924156966186,True,0.6581896973817365,319.51663142577803,,,,,,,,,
6,7,5.427009861442638,99,-4.869853856697965,,,,,,,,,,,,
7,78,3.7147538609722908,82,-1.7615142161177317,True,-0.9752419567590555,262.72060852559713,253.40823255152424,83.08872807973273,167.37323684783965,252.94225438405346,0.0005984234661132365,211224.6383505587,0.08577545006077086,0.596975694618119,4.923039027126189e-20
8,33,-9.668265605710786,97,3.388510721638635,True,-0.7055537476660219,262.82346738897695,254.06245239170292,84.44587795384739,164.60752677230843,253.63082440923054,0.0005069024033651811,197507.4011555634,0.08249799596223377,0.5954384341876233,3.817157724345668e-20
9,81,6.816293774073571,85,1.9217296869020277,True,-1.1162819677216815,258.25155639970455,,,,,,,,,
10,13,7.249930490729703,32,-1.4176727320865652,True,3.3329463712232,,,,,,,,,,
11,29,9.574877270110168,95,-4.56882712528226,,,,,,,,,,,,
12,85,-9.257534036426298,88,2.5945543695867457,,,,,,,,,,,,
13,13,-6.476217930250723,62,6.385096268630839,True,-1.0157264561225292,261.0841329524254,252.3762396830997,76.27198509627802,173.92319105776681,251.7256029807444,0.0007315326119792943,126091.83848465444,0.10170609770678261,0.5990078566327921,1.634807961165852e-18
14,25,-3.4474471362342936,25,2.0277264006587927,,,,,,,,,,,,
15,51,4.016631679107771,51,2.082712960704514,True,-1.0417492498819882,261.4534890204868,252.41167397434006,75.3088107274685,174.9052864364811,251.7982378545063,0.0007535732875746531,161709.78564830552,0.09871736229498333,0.5993251819474965,4.926531261974639e-19
16,11,9.488898949143142,91,-8.840622607002055,,,,,,,,,,,,
17,37,5.427620948606332,42,1.5677488937438717,True,-1.0735367374573639,260.46630764280525,252.19474936070625,72.14859987973367,178.4491599278402,251.55028002405328,0.0008226216484591394,184212.3425224731,0.10125518099231212,0.6002891521368477,3.5428553628444607e-19
18,10,-8.503717474023782,94,0.47040756108398085,True,-1.0698034610627827,258.1424136092985,,,,,,,,,
19,71,8.404141593771627,92,-7.942427727047605,,,,,,,,,,,,
