,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0
0,54,9.185817302457203,80,-3.473297062276373,True,-0.7276347889063571,,,,,,,,,,
1,25,-9.468500754695715,70,-6.20419666055386,,,,,,,,,,,,
2,19,-6.807918767509493,42,-6.490060509684941,,,,,,,,,,,,
3,74,6.205420772421991,94,1.7008460031892376,True,-1.3869721527022496,253.60910932876502,247.83068249019007,64.95816024812382,185.79489614887427,246.86836795037524,0.001162471181097282,87224.52990761104,0.12487054040630872,0.6045102806521991,6.525342690431559e-17
4,1,5.200769114401888,10,3.298081479756412,True,-0.966749474404733,270.8377855588982,,,,,,,,,
5,20,-7.392350993821994,85,1.4913861806654332,True,-0.8532484995958014,260.87243530367994,252.9724562823525,80.05960215812539,169.01576129487523,252.42807956837493,0.0006138370636301144,159622.36711949328,0.09285910508344553,0.597222286195144,2.488229580711605e-19
6,60,6.118911763251706,75,0.21154624053685467,True,-1.1003203437835107,260.40270664127144,251.28188254154685,71.59971103835065,177.7998266230104,250.6000577923299,0.0008433449784179754,148843.05080384784,0.10432791590127241,0.6005701636435751,1.1783982394977797e-18
7,13,8.565275464757427,58,-7.724401886944472,,,,,,,,,,,,
8,14,-6.451869083553996,26,-1.2794498891962256,,,,,,,,,,,,
9,53,5.841964414072823,56,2.9766805079574343,True,-1.0569029500746985,260.73572576957696,252.20039664991327,74.71046402083832,175.366278412503,251.57790719583235,0.0007697191508785246,161064.50570238364,0.09950267680240746,0.5995545822777065,5.45470913180186e-19
10,13,6.504078544724095,18,-0.5516732189119882,True,-0.775372021271456,293.26951178092145,,,,,,,,,
11,5,-9.849155384592276,8,9.787325496344831,True,-0.3684911457656794,270.602924880211,260.08093574433406,96.39149883199482,159.87319906559586,259.88170023360107,0.00031190757249848486,1440388.456016446,0.05535668212777276,0.5915891896557675,2.0101010821763534e-25
12,33,7.392701310891052,60,6.364968020883239,True,0.09504193453119981,199.90693908135574,168.2849820531311,46.02827959056475,189.9,166.47172040943525,0.004333766371852243,292866.37379154196,0.20640039113146189,0.6285517686102382,7.270422288589082e-17
13,37,-7.851904660581508,77,-5.656004506707502,,,,,,,,,,,,
14,8,-7.566035114872685,30,-2.602517308915151,,,,,,,,,,,,
15,8,-2.0489680320038524,11,-0.27460640451934815,,,,,,,,,,,,
16,2,3.4309139799829893,77,2.0581733604621135,True,-1.0935054443466017,258.86016933348253,251.2824352377445,75.07861370429447,173.48716822257668,250.70427725914112,0.0007710341499752307,195102.60910449247,0.09602712807501383,0.5995731549173352,2.0006215568987997e-19
17,50,-6.723094825007094,60,0.3158899361544165,,,,,,,,,,,,
18,40,7.923377418884584,53,-3.848789639826431,True,-0.47780374384320784,,,,,,,,,,
19,18,-1.2566297365889554,47,-0.3208505422665713,,,,,,,,,,,,
