7.8882e-9      2.4611e-10
7.8666e-9      3.8141e-10
7.8666e-9      4.8890e-10
7.8450e-9      6.9412e-10
7.8021e-9      1.0448e-9
7.7169e-9      1.6672e-9
7.6747e-9      2.3327e-9
7.6536e-9      3.2166e-9
7.6536e-9      4.4354e-9
7.6957e-9      6.2060e-9
7.7169e-9      8.0719e-9
7.8021e-9      1.1130e-8
7.8235e-9      1.4267e-8
7.8666e-9      1.8830e-8
7.8666e-9      2.4491e-8
7.9316e-9      2.4851e-8
7.9316e-9      1.8830e-8
7.9753e-9      1.4267e-8
8.0192e-9      1.0969e-8
8.0633e-9      8.6834e-9
8.1077e-9      6.7743e-9
8.1747e-9      4.7022e-9
8.1747e-9      3.4603e-9
8.1523e-9      2.2989e-9
8.0855e-9      1.7419e-9
8.0192e-9      1.1405e-9
7.9972e-9      9.2958e-10
7.9753e-9      6.9412e-10
7.9753e-9      4.8181e-10
7.9534e-9      3.8702e-10
7.9534e-9      2.4611e-10

