2.7048e-8      1.4834e-9
2.7048e-8      2.3327e-9
2.7048e-8      3.8891e-9
2.6974e-8      6.0274e-9
2.7048e-8      1.0049e-8
2.7123e-8      1.4906e-8
2.7123e-8      2.3101e-8
2.7123e-8      3.2799e-8
2.7123e-8      4.1432e-8
2.7272e-8      5.7971e-8
2.7272e-8      7.5401e-8
2.7272e-8      9.6650e-8
2.7347e-8      1.2943e-7
2.7422e-8      1.7848e-7
2.7422e-8      2.4973e-7
2.7422e-8      3.0638e-7
2.7497e-8      4.5447e-7
2.7573e-8      5.6577e-7
2.7573e-8      7.0434e-7
2.7725e-8      6.9412e-7
2.7725e-8      5.5757e-7
2.7725e-8      4.5447e-7
2.7725e-8      2.9756e-7
2.7725e-8      2.4611e-7
2.7877e-8      1.7589e-7
2.7877e-8      1.2756e-7
2.7877e-8      8.9844e-8
2.7954e-8      6.4211e-8
2.8031e-8      5.0094e-8
2.8108e-8      4.0831e-8
2.8108e-8      2.8759e-8
2.8185e-8      2.0554e-8
2.8185e-8      1.3457e-8
2.8262e-8      9.6180e-9
2.8185e-8      6.4839e-9
2.8185e-8      4.4354e-9
2.8185e-8      3.1240e-9
2.8185e-8      2.1685e-9
2.8262e-8      1.5957e-9

