,Unnamed: 0,n1,a1,n2,a2,n3,a3,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2
58,4,14,3.1819052371125665,58,5.416760331646197,93,6.957553170739338,True,-1.8096296876503764,255.48564583356946,251.57913770717687,68.49938119292996,361.5,246.05015470176758,0.0013256211607136185,84385.83719058693,0.3022523970870837,0.606303971021104,8.1245421659847e-16,,,,,,,,,,,,,,,,,,
59,11,8,0.4610617966835289,23,4.952777916151497,41,5.527060927159567,True,-1.6660044232771596,257.1350304750877,256.56070402860854,63.841905152979145,378.5604762882448,249.23952371175525,0.0013246558234852727,23506.21712787748,0.3462100742676295,0.6062937101290423,6.616354486134879e-13,211.0894231099477,409.3465855119677,456.54658551196775,210.62670724401616,9.899504579158188e-05,140629.26358519107,0.09349783397278684,0.5854167541018886,2.6387375102636873e-21,,,,,,,,,
60,11,31,2.8132412599735375,44,5.451022685774195,84,8.110898610458698,True,-1.745026266186423,256.07547312498815,255.55999037929703,67.57937472164278,397.2,247.5051563195893,0.0013245783621250796,24521.144231039634,0.363967836320907,0.6062928880880847,6.523813032464362e-13,234.19177433439518,411.6872347873351,470.2872347873349,233.5563826063325,0.00010670823982757842,114106.1779531454,0.10382768517353627,0.5857228263149655,8.230754577624637e-21,,,,,,,,,
61,17,29,0.8911226326231318,34,5.33902090430351,54,6.8400585942412695,True,-1.6870242101161614,257.7236033231991,254.21828634774928,65.12500187735415,361.7,248.19374953066148,0.0013225128431455255,28650.806422764057,0.3144620966214097,0.6062709220616932,1.8625732117670666e-13,,,,,,,,,,,,,,,,,,
62,1,36,-2.131020532713284,51,8.081421833522121,93,8.826010679211443,True,-1.8067911060261723,255.5147754110002,252.87107261267903,68.57507335171735,375.1,246.4062316620707,0.0013179319679440865,29430.158561644388,0.32685020038897383,0.6062221413974542,1.853804616186714e-13,209.341988266524,406.07773405603683,454.63886702801835,208.8611329719817,0.00011105205333488003,135880.901188771,0.09571071297969228,0.5858902635467607,4.853398051855847e-21,,,,,,,,,
63,15,7,0.2195117521420613,40,5.952734929081958,61,6.415199451516888,True,-1.6677082531535297,255.83588106786686,252.671452739788,65.31012850836868,351.6,247.75797429832627,0.001307683212014812,37528.29854354587,0.2839210310226573,0.6061126796509746,3.5889207671547264e-14,,,,,,,,,,,,,,,,,,
64,5,17,3.5811474246652217,29,8.495276711177134,41,9.293031175588254,True,-1.6223142438761808,257.06527819353346,253.158881853294,64.31385518014507,352.77722896397097,248.17722896397098,0.0013045558309918745,35666.32664235681,0.28578023934341323,0.6060791875898577,4.638243627473948e-14,,,,,,,,,,,,,,,,,,
65,7,8,5.918062244736325,27,8.739884886200674,40,8.936119435263384,True,-1.6137632596464655,256.24647050853366,253.16317726951598,64.3794212802765,350.8841157439447,248.2841157439447,0.001297054498653992,36610.618116516955,0.282758245843435,0.605998680440021,3.888950871371587e-14,,,,,,,,,,,,,,,,,,
66,13,22,3.2819567621160743,25,5.146183943757606,39,9.260565417281004,True,-1.6333907365311933,256.9841269841269,254.8275213789241,65.04228149310575,363.9,248.65154370137887,0.0012944552800192586,26964.29166214564,0.31844100756824706,0.605970727344158,2.4288811129941753e-13,,,,,,,,,,,,,,,,,,
67,9,2,0.9189752221909959,25,8.579509609391373,40,9.574566028261877,True,-1.6308202954222746,256.0937313690066,254.3790891237936,64.76141446438776,360.0096463839032,248.60964638390308,0.0012931956362834825,30865.8054151883,0.30766866833147616,0.6059571699486912,1.1254775212859258e-13,,,,,,,,,,,,,,,,,,
68,8,2,-0.4846597746972048,57,6.373822225123664,84,7.139888066159212,True,-1.6921985122080436,255.95364569977158,250.59051037472145,66.44139892936283,346.9,246.7646502676593,0.0012882242682807606,40479.50285502087,0.25067947899378,0.6059035955777657,1.7404985365659798e-14,,,,,,,,,,,,,,,,,,
69,12,27,-3.9227193237752496,43,8.862782456272484,78,9.165922303644708,True,-1.7201074382772334,257.51939426348304,253.60348579282547,68.12440098024658,372.8,247.1938997549384,0.001284095585309355,29460.2181124877,0.32531673022610874,0.6058590195081237,1.66420343197052e-13,202.9772283304319,407.7160228177869,453.11602281778687,202.54198859110656,0.00010594180842272432,149883.71934331374,0.09247486346973376,0.5856929265953031,2.673134319703528e-21,,,,,,,,,
70,7,19,-2.5861039439337485,49,8.149795747719589,72,8.17011047379236,True,-1.6467142858781352,258.0630861754223,250.70719236938262,66.15146607681308,341.7,247.06213348079675,0.0012835272297221855,88954.2406329239,0.2445377615052388,0.6058528772373992,3.2560319745556354e-16,,,,,,,,,,,,,,,,,,
71,14,11,-4.841453237058988,59,8.984103928896047,84,9.03648514861641,True,-1.6614544236774431,254.77291506310212,249.6521876881309,66.28931065625561,340.3026723359361,246.6026723359361,0.0012786087903824154,55395.294612215526,0.22365018521825908,0.6057996631737239,2.7628731063775567e-15,,,,,,,,,,,,,,,,,,
72,6,8,5.015138472241169,38,7.3187735517014865,62,9.09936658264228,True,-1.6618054886595024,257.2710038377955,253.83420427326342,66.20515742316805,367.5,248.0189685153664,0.0012769884627871733,30987.088741611715,0.3093235270442264,0.6057821077239974,1.086732196944854e-13,,,,,,,,,,,,,,,,,,
73,8,32,-5.6623076649482895,60,8.358046244190406,99,9.490441420083359,True,-1.7619184726718753,255.17701602139962,250.00397918525672,68.26576526059358,352.3,246.0085586848516,0.0012747018944336804,143227.71126860194,0.2566847164584052,0.6057573163062271,3.386686116007039e-17,,,,,,,,,,,,,,,,,,
74,10,25,-5.477000368245375,64,7.74530049840908,96,8.756061325455818,True,-1.7041538078532212,254.57208621050415,249.21342341102346,66.5504982877691,342.4,246.36237542805767,0.0012726402289165582,67242.01869860322,0.21620392618692647,0.6057349423069419,9.684490937945477e-16,,,,,,,,,,,,,,,,,,
