,n1,a1,n2,a2,EWSB,chh,Tres,Tc_0,phi_false_0,phi_true_0,Tn_0,alpha_0,beta_0,vw_0,vJ_0,SNR_0,Tc_1,phi_false_1,phi_true_1,Tn_1,alpha_1,beta_1,vw_1,vJ_1,SNR_1,Tc_2,phi_false_2,phi_true_2,Tn_2,alpha_2,beta_2,vw_2,vJ_2,SNR_2,Tc_3,phi_false_3,phi_true_3,Tn_3,alpha_3,beta_3,vw_3,vJ_3,SNR_3,Tc_4,phi_false_4,phi_true_4,Tn_4,alpha_4,beta_4,vw_4,vJ_4,SNR_4,f,epsilon
14,7,0.8210909976583897,38,0.02584904401126327,True,-0.5239282548090817,159.60738806691808,156.84831708363637,19.4,216.5,146.39640606203773,0.009147078015385416,4510.92379828741,0.4927005749400823,0.6500282227935227,1.3189552993126829e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.76240208877283,0.00012764995698366356
16,11,3.588031357458473,59,0.021620095744846687,True,-1.9764578523257723,177.55634562014214,177.19566458652474,9.0,218.8,165.39231801795148,0.00911534262079188,5149.771461490645,0.4876880023735532,0.6499089032799096,4.718280429219113e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.3413801511825,5.663908658418598e-06
2,19,4.210086143031839,98,0.16340008418365687,True,-2.477864468913588,156.66223505554527,156.6116488850838,19.8,213.6,145.96977081025744,0.009093545537048569,6522.0659432095545,0.4971890220529528,0.6498314068636761,2.4648737291549784e-06,119.90320213135664,217.1,271.6,102.85636714234394,0.00041179692384282014,4196.112838127086,1.0,0.5936798955523397,2.0138885135356654e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.9732468585325,1.0281438140812431e-07
5,14,1.8058942463486247,71,0.04983748112435239,True,-0.6428501229516768,161.2204641896406,160.46272717274852,19.2,216.5,150.28101574028034,0.009090855191299593,6929.667244484486,0.4817188261262973,0.6498214921103641,1.3857787182636365e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.5674056321151,1.7535105215837797e-06
6,15,1.3482908638403406,79,0.05246228265537151,True,-2.6356011603162037,157.17253083049928,156.38309499540603,19.8,213.4,145.74095703679583,0.00908374037481883,6355.254122703743,0.4976129936975235,0.6497952647140687,2.807517795652654e-06,126.3939402992248,216.36238370452145,271.9,107.23761629547856,0.0004210047737863895,2859.384985109693,1.0,0.5938585538199473,7.536603654108183e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.4199148378643,1.1503586852761522e-06
10,14,3.8919201751487837,67,0.08404780663634642,True,2.2667173127135487,172.30172228059854,172.15761342676902,19.1,223.4,162.1350972229387,0.009071964748445458,5809.490154644854,0.4627186953225765,0.6497518292468379,2.0449364596287012e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0935946183095,1.2993164001330144e-06
28,14,1.33007351273003,75,0.0533994483384744,True,-3.1854160517166674,157.3522654167815,156.44803304782997,19.8,212.7,145.81161948800943,0.009063515715545657,6181.798277916523,0.4971874352406119,0.6497206439997606,3.1580172636306547e-06,135.48856075483246,214.9,271.9,114.30701128873146,0.000429404499796084,1970.1938974059271,1.0,0.5940200935778557,2.3458320204372715e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.6476426799006,1.6167893867399768e-06
9,14,2.412771977690852,70,0.0186369091216843,True,-0.1964923228490348,176.85630529347972,175.98772238669503,11.052884713553352,223.1,164.54711528644663,0.009052639145192934,6187.6178693624715,0.4841694863347786,0.6496804737929263,1.8799823783147045e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.684619988031,2.3143608223141097e-06
12,12,3.00269710010951,57,0.059544668826565124,True,3.3929418639218114,180.59023188774958,180.40302145387773,19.3,226.5,170.81885468589158,0.008947648606149581,7085.1330181276535,0.4437706058811303,0.6492912628306743,5.33677189941675e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.5560629122273,4.877342322375055e-06
9,8,0.539724937128413,60,0.014443206963716919,True,-8.413885383908685,161.3523415678166,158.2073333908532,16.3,216.2,148.54476195171702,0.008947052116631866,15616.757253489335,0.4732444466325764,0.6492890440146257,2.4143958710466752e-08,155.2594905866379,216.7,264.5,132.58358079078423,0.000383076742991,2405.989618346647,1.0,0.5931083860858881,6.031771890255212e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.2722820763957,6.740633063799219e-05
8,6,2.3396527968420973,43,0.03786356331158865,True,-1.4793863092067467,157.11523588553752,154.92716718501742,15.5,221.0,146.8090004443015,0.0089346388695193,39492.59551997561,0.440768758712492,0.6492428498064323,1.7587585600554868e-10,93.74293337184204,224.4,266.5,84.78918255683158,0.00028846234089426514,8066.307492280663,0.5614399694973056,0.5910502669874363,1.5690197350135411e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.0185614849188,9.363625868149587e-05
0,12,2.1424386975764187,66,0.1058887291028128,True,-3.572502089645763,154.221452936949,153.8571422137975,20.0,212.4,143.79970490146798,0.008881357550027854,6061.727892480629,0.4882134428893274,0.6490441457455879,3.0142340545743264e-06,138.12169576676487,214.5,272.2,115.16904132087244,0.00046997853145623673,2293.9239849532364,1.0,0.5947777941244053,2.0141016206967544e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.8614375512435,1.8756486778045296e-06
2,17,0.2283198482373327,81,0.00961139564383142,True,1.6064282652514228,161.0689970570156,160.04715667293658,20.2,219.7,150.59756286251718,0.008854965912923233,5516.739481774936,0.4660024532737872,0.6489454658882526,3.107692303300548e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.564387365498,4.846550676850427e-06
4,15,1.9581946738464868,71,0.061906828344928215,True,2.618910283905056,167.86441211687188,167.73416831322143,19.9,222.0,158.4721442684771,0.008849008629138762,13045.09371436543,0.4516908489436236,0.648923167628443,3.639113208122867e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.642085775995,1.5161273067417613e-06
25,5,2.0464284790119383,27,0.12074400661877678,True,1.5396720961532853,152.63561094905566,150.29370949447608,20.43995736176486,218.83995736176487,140.76004263823515,0.008832999349629922,5730.949863166592,0.481896236624715,0.6488632012691542,3.776950112855314e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.7947494033413,0.00021423506213345846
14,17,2.0464855611073336,78,0.028987607056339064,True,3.2332029498635984,192.31790689595528,191.53267454443963,18.5,230.4,183.2844420807209,0.008697968022083197,10074.671538108709,0.4023505334826117,0.6483548812861997,4.827894045742538e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.7699332630839,1.4035744132122032e-06
24,14,2.3887250881998376,70,0.13455017167381722,True,-0.16593213398927087,152.67266168775083,152.22199745733846,20.3,216.7,143.2877937908359,0.008685989461328945,11042.849836270483,0.4648700322873343,0.6483095680157764,1.2097358493594338e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.4814814814814,8.881298567829271e-07
1,11,2.158451274813564,76,0.06795120757579406,True,-3.9701513416169902,149.58809957048055,149.50720406311413,16.4,219.1,141.8462454401307,0.008595476038994373,29959.231512482773,0.4373378475260794,0.6479659131693736,6.633363542900552e-10,121.29163472402293,221.1,267.3,98.96693154959983,0.00048785804946265644,2767.828067671743,1.0,0.5951007958474815,1.7047550329819284e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.4246369554331,2.8127093623080067e-06
23,19,1.983858847335333,83,0.021375163520617583,True,-0.3949961928990576,212.07678266501802,211.68158080441486,18.63732375105088,242.9,204.6626762489492,0.008470098395502751,14674.49329237434,0.3555079364716923,0.6474865919706245,3.3418801012299035e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.537360890302,1.1354413313341222e-06
13,7,1.5053011469729465,53,0.0502778652158872,True,-6.3271082843549875,152.9940914179949,150.27243030532273,16.4,217.6,142.97897229629,0.008420407920348061,26329.562283602845,0.426520561671026,0.6472954573086476,1.0347254782038653e-09,144.98486856093515,218.4,266.2,119.63953012044612,0.0004251938250422508,1387.34396306308,1.0,0.5939394262919806,5.766521042754889e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.1939542198147,3.5625460134237257e-05
11,3,1.8464159231679504,16,0.11011590494074633,True,-5.472656295627914,182.9867580251464,167.0500921899419,24.6,273.9,157.9806893834211,0.008380292959552433,31202.260751607904,0.4489463133389658,0.6471406783331031,4.146951534499056e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.82881886861986,0.0022321577936464773
28,26,1.684616063929704,98,0.0738587515232794,True,-2.1000795148111866,171.2857344036052,167.39404494422897,24.906189001302234,203.4061890013023,157.79381099869778,0.0082784488219066,6642.179030092181,0.4585819963890352,0.6467453638194808,8.589263886121243e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.3166757197173,6.519829760358052e-08
19,2,2.888752188866832,36,0.026385909780075347,True,-11.085495513354282,127.50920611941244,127.10340338684436,9.5,175.4,121.21530100043171,0.008245444893092247,411059.68937454774,0.4189672707034121,0.6466172192011426,1.6659219982008044e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.6641627334973,0.0031223576563665562
4,10,1.5032521091433366,75,0.03312514228060797,True,6.945676465629853,156.751720496271,156.5725723661636,14.3,188.0,150.22379094851826,0.008235334435676584,59717.61012796666,0.3909525560715757,0.6465777732853893,1.0115761022356964e-11,151.49235441484444,188.4,230.4,135.17210430406118,0.0004217386907850112,2839.259928778045,0.5859596225499564,0.5938729054910117,1.2677861819011093e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.1633085896076,1.2145011004390355e-05
11,14,1.1296430159997628,81,0.007673905508386509,True,-1.0928800941252654,218.72589024906898,218.1457508968789,16.4,193.0,211.59635791161202,0.00822426611258977,22511.691618359433,0.3388962153234929,0.6465345581785761,2.8965104168790806e-10,212.85406089530568,193.3,245.6,208.7148834588532,0.0003902268088086783,23167.45801498212,0.2737540874944581,0.5932526885781824,1.3303222537933755e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.1198073449729,1.2089502949019076e-05
26,26,0.7589577660271613,99,0.03960498404348749,True,-2.4004985363141467,176.96463786908714,165.75355325644958,25.4,202.7,156.54974017343187,0.008211628669949402,6337.773186062093,0.4538893757598804,0.6464851742258519,1.0163910773514406e-06,158.1747870155479,204.4,278.9,142.20847065628988,0.00031693591027450965,4438.927847298291,0.5773052407942523,0.5917020297853604,6.265446972686808e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.8271334792123,1.2853634341628944e-07
27,21,1.40487317370799,87,0.013763897009307042,True,-3.0511972900647093,199.122060758642,197.95501974400776,8.545799806072838,255.4,187.9542001939272,0.008189860167499972,7521.351929605259,0.4297164478552517,0.6464000089230352,2.043451288966849e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.8627711376716,6.276835633085146e-07
17,17,1.4590969957317057,94,0.008399179393425086,True,-4.291277280688683,195.88223247665474,195.5153091792831,13.5,255.0,191.50652104951703,0.008185059387721889,167665.70673592435,0.2820848441842028,0.6463812088766684,1.0505906527021324e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.2971304031965,2.0050609288684987e-06
15,23,0.5258066426715513,94,0.008800726320581735,True,-4.361830312840318,194.99437739411758,193.8707230365994,18.885473191624662,262.5,186.9145268083753,0.008142433066533549,16525.999169403793,0.3683403295275392,0.6462140026299444,2.42907672090644e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.2206527033609,8.754188730678596e-07
29,10,1.5550967398441673,38,0.10007773692349292,True,-0.6148443722978292,171.29274868738466,161.8151613390877,26.6,207.7,152.8815299269228,0.008117269505069122,6178.813949902822,0.4508850352126871,0.6461142840004421,1.1455357760498446e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.20866489832,1.1689279424771964e-05
4,5,1.2844200427213566,32,0.04318118488557541,True,-6.814655704331537,164.58092174721156,163.9906843013649,19.0,268.0,158.48124068492757,0.008114292995917918,40188.32258800649,0.35775381360844943,0.6461033432800668,4.375975273170662e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.43715919670166,0.0003487956432841706
16,16,1.8588515747980177,57,0.11585481718962674,True,0.0564162129539808,173.7504812930603,165.10515024524236,26.667749951433176,209.7,156.13225004856685,0.008074048600687944,7259.592485634084,0.4476470546331967,0.6459446989383337,4.7645168228977746e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816.8546781685467,9.266506688305301e-07
13,25,2.8408227077627486,95,0.08070743087523892,True,-2.216749257353011,173.3121545534377,173.27872752918012,20.50586373047028,208.50586373047028,163.49413626952972,0.008065337903269259,6474.942616670231,0.4549571794399769,0.645910292594135,7.819146372223891e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287.6569037656902,6.010886898589453e-08
12,18,2.3458617637567305,74,0.03659167647852029,True,-3.869951663510864,191.3235983207581,191.07483262150365,16.4,263.2268939331564,183.32689393315638,0.008063796481797234,12619.575174635835,0.39010436455090597,0.6459042120031352,1.14843296445625e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.5243996901627,7.260424044031649e-07
18,20,1.0108075894907227,70,0.07425384368788254,True,0.15836182548401714,177.70763187429853,163.72888730076363,27.22716719868372,209.6,155.27283280131633,0.008017960669857898,7619.752805478756,0.4387098473152044,0.6457228365797121,3.4130254236434125e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.1883116883116,4.661392305568634e-07
8,14,2.6629633355649163,52,0.10667166742516704,True,-0.7162091972878919,169.0438053933286,168.44629713285332,22.941496202468638,210.94149620246864,158.45850379753136,0.008015785529963128,5774.697046311372,0.4658918444207477,0.6457142145681333,1.6405418235986196e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.1257485029939,1.464071695302033e-06
17,27,0.6967302156129495,91,0.03753596648105712,True,0.8890346614240314,176.7662096638131,171.6512890607051,26.0,213.6,162.6204137421939,0.007957695571903166,6794.5002010347,0.4410443480077257,0.6454834517984034,5.199228362623311e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.5775401069518,1.7088350352467643e-07
6,12,1.7751511874805503,70,0.035426404929546865,True,-17.65519697580217,219.86739826245997,219.74296188556443,19.3,200.1,212.63741397653905,0.007952108292306397,14636.600727433886,0.3512427666902779,0.6454612052001943,2.420364253730435e-09,193.36429747194182,200.9,258.8,185.9360161488474,0.0005894996457637742,39000.23619128561,0.3753269419896667,0.5968314217652496,1.4929283244573013e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.8903508771929,1.2219666803757996e-05
0,11,1.0939353861903227,79,0.014855582261485612,True,-12.39103464786239,184.3464984586934,183.86898748349202,15.7,212.3,179.12598824980952,0.007944129743742518,151916.537076121,0.3159057985926241,0.6454294217905484,2.590513604944191e-14,173.41767000361233,212.8,260.1,157.00501356734586,0.00035412955904466214,3693.3392806953,0.555116241009298,0.5925096263681444,1.135728771585178e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0898082744702,1.5959041375765567e-05
22,11,1.0697718193782524,46,0.036355733328022034,True,-3.7643498315254416,178.5100302377721,175.1400271398494,22.8,274.1,169.19145183415696,0.007942585776163698,30602.134994810538,0.35964646498987257,0.6454232691062017,1.331556024526013e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.3073822121441,1.3439781977244389e-05
26,25,2.340375826841264,85,0.18556718475723444,True,0.6343900945579103,181.2963879267689,164.97358399058913,27.5,210.8,156.9177504127919,0.007937537193888169,8371.066974793637,0.4276158792113407,0.6454031457819696,1.8227660418669697e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1218.208807521029,6.113037484391699e-08
22,22,0.710881391370992,75,0.036429490050137264,True,0.7885454913521053,175.85394581861013,171.71366510258213,25.5,213.9,162.55141375302216,0.00793331355687448,6872.021184905357,0.4440397024903364,0.6453863049738218,5.050564202438684e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.4558303886927,5.339551658190695e-07
28,14,2.2714126482361485,47,0.1826012929349128,True,1.802322533788378,189.12433831961783,170.86650406511998,28.2,213.9,162.87744151322917,0.00791994371833545,7572.384183204901,0.4192193462012511,0.6453329616657959,2.4187383782990354e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0701159174441,2.0467678745261665e-06
3,23,2.319022732959897,75,0.14091514878313127,True,2.0917493108075518,191.6227077222761,178.30756990769245,27.8,216.5,170.33475094505548,0.007916283771242342,8182.725032622934,0.4089641571856097,0.6453183500810487,1.3228585091281324e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.014453477868,1.5988878685718453e-07
25,17,0.7828587770936999,69,0.07156693842526682,True,-3.196930544010017,188.7678528201404,159.9210335978401,26.4,201.6,151.49794434635152,0.007894357444937364,8218.994011844134,0.4431590672515529,0.6452307321842893,2.5556951435037787e-07,159.65943054873438,203.3,280.0,137.47641916584973,0.0004769637478714374,2878.596546912962,1.0,0.5949047757209064,6.822447690626696e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.4125286478228,7.943205514196865e-07
12,15,0.5241601793273789,64,0.02207124212020891,True,-6.611345524469777,205.48561214167148,185.73612321302903,23.7,270.2,180.2426412525169,0.007884314693497504,61724.506335555176,0.33679822455699737,0.645190554435783,2.681140334977416e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.4135697238322,5.572543275157326e-06
